Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer10,"[('▁prep', 1.43), ('▁hi', 1.17), ('▁prepar', 1.07), ('素', 1.04), ('asm', 0.83), ('▁Guy', 0.64), ('▁gepubliceerd', 0.64), ('ital', 0.56), ('ymnasium', 0.43), ('alem', 0.43)]","[('<0x0A>', 12.67), ('L', 2.27), ('\\', 2.25), ('k', 1.66), ('B', 1.61), ('▁[', 1.48), ('1', 1.37), ('(', 1.32), ('▁', 0.7), ('::', 0.69)]","[('▁estaven', 49.67), ('dra', 1.44), ('erton', 0.76), ('tte', 0.66), ('▁&=\\', 0.65), ('PL', 0.49), ('▁Proof', 0.46), ('cken', 0.33), ('uncia', 0.29), ('iah', 0.29)]","[('<0x0A>', 17.23), ('(', 1.65), ('B', 1.64), ('Sch', 1.58), ('\\', 1.57), ('m', 1.17), ('k', 0.98), ('▁', 0.96), ('1', 0.92), ('the', 0.63)]"
layer11,"[('cov', 3.29), ('itare', 0.71), ('tid', 0.59), ('房', 0.59), ('дела', 0.56), ('schau', 0.51), ('bage', 0.5), ('▁cov', 0.46), ('ucci', 0.46), ('▁mad', 0.45)]","[('<0x0A>', 6.14), ('Sch', 3.68), ('(', 2.22), ('B', 1.72), ('▁mens', 0.97), ('\\', 0.89), ('▁(', 0.69), ('ital', 0.51), ('G', 0.48), ('Un', 0.47)]","[('hner', 0.76), ('▁Storm', 0.75), ('▁reconst', 0.61), ('leich', 0.61), ('oval', 0.6), ('ivan', 0.55), ('oux', 0.4), ('hel', 0.39), ('cyk', 0.39), ('cock', 0.37)]","[('<0x0A>', 3.26), ('Sch', 2.75), ('B', 1.24), ('(', 0.69), ('a', 0.66), ('in', 0.65), ('we', 0.56), ('the', 0.54), ('▁(', 0.53), ('d', 0.47)]"
layer12,"[('qué', 1.09), ('Hint', 1.08), ('▁Außer', 0.77), ('PC', 0.63), ('jan', 0.59), ('▁dere', 0.57), ('ane', 0.53), ('▁Hier', 0.5), ('▁sierp', 0.42), ('LIC', 0.4)]","[('(', 2.32), ('Sch', 2.21), ('<0x0A>', 2.17), ('we', 1.58), ('\\', 1.3), ('▁(', 1.09), ('▁[', 1.01), ('ital', 0.9), ('B', 0.87), ('in', 0.81)]","[('ал', 1.56), ('auer', 1.18), ('Lu', 1.06), ('▁La', 0.98), ('▁Heb', 0.66), ('La', 0.64), ('cl', 0.57), ('▁обра', 0.54), ('▁Ron', 0.4), ('Axis', 0.38)]","[('(', 4.42), ('Sch', 3.47), ('▁(', 3.19), ('\\', 2.36), ('<0x0A>', 1.75), ('▁[', 1.48), ('▁{', 1.11), ('a', 0.9), ('▁', 0.88), ('▁*', 0.88)]"
layer13,"[('uga', 1.21), ('▁reve', 0.99), ('▁organ', 0.61), ('▁root', 0.45), ('▁spot', 0.38), ('▁fit', 0.37), ('▁swe', 0.37), ('▁heart', 0.37), ('▁références', 0.32), ('▁release', 0.32)]","[('<0x0A>', 8.6), ('\\', 3.53), ('Sch', 2.47), ('(', 2.37), ('▁[', 1.51), ('B', 1.45), ('▁', 1.42), ('▁(', 1.19), ('a', 0.99), ('He', 0.91)]","[('▁tong', 1.03), ('TD', 0.86), ('MQ', 0.85), ('idia', 0.63), ('ńczy', 0.62), ('❯', 0.55), ('nia', 0.53), ('ZE', 0.47), ('ze', 0.46), ('▁Référence', 0.46)]","[('\\', 5.03), ('<0x0A>', 2.65), ('I', 2.0), ('He', 1.95), ('B', 1.89), ('the', 1.75), ('Sch', 1.67), ('(', 1.41), ('a', 1.35), ('The', 1.32)]"
layer14,"[('cios', 3.33), ('perty', 1.34), ('rapper', 0.75), ('icia', 0.55), ('NER', 0.55), ('改', 0.53), ('odd', 0.49), ('▁binnen', 0.37), ('字', 0.34), ('arod', 0.33)]","[('\\', 5.69), ('<0x0A>', 5.41), ('the', 2.75), ('(', 2.54), ('a', 1.59), ('▁George', 1.45), ('ob', 1.23), ('My', 1.14), ('B', 1.08), ('backend', 1.04)]","[('\u200d', 1.82), ('dex', 1.16), ('▁Mort', 0.86), ('raph', 0.83), ('DEX', 0.82), ('▁Indian', 0.81), ('▁Mun', 0.6), ('clus', 0.48), ('▁veg', 0.44), ('enberg', 0.43)]","[('\\', 9.38), ('<0x0A>', 2.95), ('the', 2.89), ('My', 2.44), ('ds', 2.31), ('(', 1.37), ('This', 1.0), ('X', 0.99), ('A', 0.85), ('a', 0.83)]"
layer15,"[('▁Car', 2.4), ('ibile', 0.83), ('▁einmal', 0.79), ('ответ', 0.75), ('▁B', 0.7), ('▁Jung', 0.53), ('▁onderwerp', 0.48), ('▁beh', 0.45), ('лка', 0.38), ('öd', 0.36)]","[('\\', 4.41), ('<0x0A>', 3.75), ('My', 2.78), ('X', 2.25), ('B', 2.21), ('the', 1.74), ('A', 1.19), ('▁George', 1.18), ('backend', 1.18), ('▁My', 1.02)]","[('▁Dal', 0.87), ('▁dia', 0.73), ('stract', 0.73), ('▁alc', 0.72), ('▁Stra', 0.67), ('▁Compos', 0.63), ('bit', 0.6), ('erg', 0.56), ('▁diss', 0.46), ('lat', 0.46)]","[('\\', 9.4), ('<0x0A>', 1.55), ('A', 1.54), ('K', 1.39), ('(', 1.31), ('B', 1.25), ('a', 1.16), ('My', 1.05), ('Com', 0.96), ('The', 0.95)]"
layer16,"[('feld', 2.93), ('ategy', 0.87), ('unci', 0.72), ('π', 0.68), ('nos', 0.64), ('yg', 0.62), ('ouv', 0.61), ('irc', 0.6), ('aient', 0.46), ('aya', 0.46)]","[('\\', 19.66), ('<0x0A>', 6.57), ('A', 2.14), ('The', 2.01), ('K', 1.33), ('B', 1.04), ('(', 0.98), ('G', 0.9), ('H', 0.89), ('the', 0.84)]","[('uki', 3.41), ('ento', 1.21), ('virti', 0.84), ('uesto', 0.82), ('ئ', 0.72), ('aterra', 0.6), ('▁noreferrer', 0.54), ('▁Rat', 0.46), ('ieg', 0.45), ('AAAA', 0.44)]","[('\\', 25.54), ('<0x0A>', 5.51), ('The', 2.42), ('K', 2.39), ('A', 1.9), ('the', 1.22), ('N', 1.08), ('M', 0.99), ('▁.', 0.97), ('He', 0.96)]"
layer17,"[('▁pse', 1.91), ('={{', 1.4), ('▁Pla', 1.1), ('//', 1.03), ('touch', 0.54), ('lyph', 0.53), ('bmatrix', 0.48), ('pmatrix', 0.44), ('ąd', 0.38), ('не', 0.38)]","[('\\', 20.14), ('The', 2.47), ('<0x0A>', 2.41), ('K', 2.36), ('A', 2.11), ('the', 1.21), ('M', 1.19), ('N', 1.05), ('This', 1.05), ('Com', 1.0)]","[('▁tin', 3.7), ('esso', 1.23), ('зма', 0.78), ('uz', 0.78), ('►', 0.59), ('▁Schrift', 0.59), ('zA', 0.56), ('Authentication', 0.54), ('urd', 0.46), ('rc', 0.43)]","[('\\', 12.37), ('<0x0A>', 4.54), ('The', 1.95), ('the', 1.74), ('<0x09>', 1.37), ('(', 1.27), ('This', 1.21), ('K', 1.14), ('A', 1.14), ('▁.', 1.03)]"
layer18,"[('chen', 24.07), ('ilia', 0.88), ('blatt', 0.8), ('<0x81>', 0.65), ('▁Bedeut', 0.47), ('▁patr', 0.44), ('oma', 0.41), (')|', 0.36), ('idea', 0.35), ('nem', 0.34)]","[('The', 3.47), ('li', 2.18), ('A', 2.13), ('<0xF0>', 1.85), ('the', 1.63), ('K', 1.5), ('B', 1.38), ('\\', 1.34), ('land', 1.2), ('<0xE2>', 1.09)]","[('ring', 0.81), ('ersch', 0.71), ('▁famil', 0.63), ('lets', 0.6), ('▁Resource', 0.47), ('hos', 0.44), ('let', 0.35), ('C', 0.35), ('ме', 0.34), ('▁paths', 0.32)]","[('The', 4.56), ('A', 3.56), ('B', 2.7), ('C', 2.27), ('K', 2.21), ('the', 1.75), ('F', 1.73), ('land', 1.72), ('R', 1.66), ('<0xF0>', 1.47)]"
layer19,"[('emberg', 0.75), ('oir', 0.68), ('ovis', 0.62), ('omial', 0.6), ('▁Bau', 0.54), ('▁German', 0.44), ('▁Balt', 0.42), ('nav', 0.42), ('zos', 0.4), ('ensional', 0.4)]","[('<0x0A>', 8.2), ('The', 5.68), ('C', 3.27), ('B', 3.05), ('K', 2.96), ('A', 2.81), ('W', 2.43), ('AC', 2.23), ('the', 1.98), ('R', 1.8)]","[('ilo', 2.29), ('lea', 0.97), ('▁pairs', 0.9), ('▁rgba', 0.89), ('acc', 0.85), ('▁medium', 0.73), ('zyż', 0.6), ('ヨ', 0.47), ('esk', 0.45), ('GROUP', 0.41)]","[('The', 8.28), ('<0x0A>', 7.81), ('K', 3.5), ('B', 3.38), ('the', 2.77), ('C', 2.5), ('W', 2.32), ('A', 2.22), ('R', 1.61), ('N', 1.31)]"
layer20,"[('▁D', 99.83), ('D', 0.15), ('▁correct', 0.01), ('▁Correct', 0.0), ('▁Д', 0.0), ('correct', 0.0), ('▁d', 0.0), ('▁Capital', 0.0), ('▁capital', 0.0), ('DR', 0.0)]","[('B', 7.62), ('A', 7.62), ('D', 6.98), ('The', 6.85), ('C', 4.26), ('<0x0A>', 4.12), ('the', 2.95), ('d', 2.56), ('K', 1.66), ('W', 1.38)]","[('aje', 1.35), ('▁Gazette', 0.9), ('cing', 0.77), ('aye', 0.65), ('▁_', 0.49), ('▁Jay', 0.47), ('inkel', 0.44), ('▁—', 0.39), ('stag', 0.37), ('uil', 0.36)]","[('The', 9.55), ('<0x0A>', 5.87), ('the', 5.58), ('B', 5.57), ('A', 5.37), ('D', 3.98), ('C', 3.34), ('K', 2.39), ('▁D', 1.66), ('W', 1.29)]"
layer21,"[('▁D', 78.41), ('ber', 6.9), ('▁ber', 3.53), ('Ber', 2.66), ('▁Ber', 2.56), ('▁Cong', 0.41), ('BER', 0.23), ('D', 0.21), ('▁Des', 0.18), ('▁Berl', 0.18)]","[('▁D', 16.67), ('D', 16.57), ('<0x0A>', 8.3), ('C', 5.87), ('the', 5.33), ('The', 5.3), ('B', 5.3), ('A', 4.88), ('d', 1.78), ('b', 1.31)]","[('▁ver', 1.31), ('uen', 1.05), ('pid', 0.75), ('C', 0.68), ('ren', 0.58), ('phia', 0.55), ('""></', 0.51), ('""', 0.49), ('▁bir', 0.44), ('anterie', 0.4)]","[('D', 17.04), ('▁D', 13.04), ('C', 12.45), ('<0x0A>', 8.33), ('The', 6.7), ('B', 5.87), ('A', 4.19), ('the', 4.06), ('(', 1.67), ('d', 1.55)]"
layer22,"[('▁A', 33.43), ('▁//', 3.22), ('▁III', 2.59), ('##', 2.44), ('▁Cs', 2.06), ('//', 1.99), ('penas', 0.96), ('heimer', 0.91), ('▁terminal', 0.83), ('A', 0.73)]","[('C', 17.89), ('D', 17.45), ('▁D', 15.26), ('A', 12.85), ('B', 9.92), ('<0x0A>', 3.48), ('The', 2.94), ('▁A', 1.69), ('the', 1.46), ('▁C', 1.34)]","[('chan', 0.88), ('oir', 0.81), ('▁fla', 0.77), ('ór', 0.74), ('<0x8B>', 0.53), ('omic', 0.52), ('ig', 0.44), ('userId', 0.43), ('▁Academ', 0.42), ('ismiss', 0.41)]","[('C', 21.53), ('D', 19.34), ('▁D', 11.58), ('<0x0A>', 8.9), ('A', 7.08), ('B', 5.94), ('The', 4.11), ('the', 2.15), ('▁C', 1.34), ('R', 1.01)]"
layer23,"[('▁Bien', 1.36), ('▁night', 0.8), ('édia', 0.68), ('={{', 0.63), ('▁Night', 0.57), ('chter', 0.54), ('▁parallel', 0.48), ('{{', 0.41), ('cius', 0.37), ('<0xF4>', 0.35)]","[('C', 30.74), ('D', 12.86), ('A', 12.51), ('<0x0A>', 10.91), ('▁D', 5.79), ('B', 5.64), ('The', 3.43), ('the', 2.34), ('(', 1.02), ('K', 0.97)]","[('landa', 1.99), ('qua', 1.24), ('ViewById', 1.04), ('▁Kontrola', 0.89), ('št', 0.8), ('yter', 0.56), ('oires', 0.54), ('fica', 0.51), ('zös', 0.46), ('<0xF3>', 0.44)]","[('C', 34.48), ('A', 14.55), ('D', 11.35), ('<0x0A>', 9.82), ('B', 7.39), ('The', 3.74), ('the', 2.16), ('▁D', 1.58), ('(', 1.0), ('d', 0.94)]"
layer24,"[('Ber', 41.65), ('▁Ber', 31.43), ('▁ber', 25.08), ('▁Berlin', 1.03), ('▁Бер', 0.46), ('▁Berliner', 0.12), ('BER', 0.09), ('ber', 0.08), ('▁Berl', 0.03), ('berry', 0.0)]","[('C', 31.92), ('A', 17.63), ('D', 17.26), ('<0x0A>', 7.28), ('B', 5.13), ('The', 3.57), ('▁D', 3.04), ('the', 1.8), ('S', 0.81), ('(', 0.8)]","[('▁C', 20.43), ('▁A', 17.47), ('▁Pla', 1.78), ('▁X', 1.2), ('▁E', 0.9), ('▁Y', 0.76), ('▁N', 0.67), ('▁', 0.6), ('C', 0.59), ('▁M', 0.52)]","[('C', 38.65), ('A', 19.54), ('D', 17.97), ('<0x0A>', 3.93), ('▁D', 3.6), ('B', 3.12), ('▁A', 2.01), ('The', 1.92), ('▁C', 1.05), ('the', 1.03)]"
layer25,"[('▁//', 99.64), ('//', 0.36), ('▁///', 0.0), ('////', 0.0), ('://', 0.0), ('///', 0.0), ('▁/', 0.0), ('▁\\\\', 0.0), ('////////', 0.0), ('▁upon', 0.0)]","[('C', 31.74), ('D', 18.41), ('<0x0A>', 17.06), ('A', 12.78), ('B', 5.56), ('The', 1.96), ('//', 1.58), ('▁D', 1.41), ('the', 0.92), ('▁A', 0.72)]","[('hoff', 3.83), ('B', 2.61), ('▁Ces', 1.24), ('puis', 1.12), ('endo', 0.83), ('▁B', 0.75), ('▁tourn', 0.59), ('ami', 0.57), ('rams', 0.52), ('▁configur', 0.41)]","[('C', 35.15), ('<0x0A>', 18.83), ('B', 16.47), ('A', 12.37), ('D', 6.3), ('The', 2.14), ('//', 1.01), ('▁A', 0.77), ('the', 0.62), ('▁D', 0.58)]"
layer26,"[('▁Ber', 65.29), ('Ber', 20.34), ('▁Berlin', 5.58), ('▁ber', 5.46), ('▁D', 2.12), ('▁A', 0.32), ('BER', 0.24), ('▁Бер', 0.17), ('ber', 0.11), ('▁B', 0.06)]","[('A', 26.18), ('C', 21.82), ('B', 15.07), ('D', 10.22), ('<0x0A>', 6.58), ('▁D', 5.53), ('▁A', 5.28), ('The', 1.42), ('▁C', 1.26), ('M', 0.64)]","[('MA', 4.14), ('ST', 1.84), ('ners', 1.62), ('ME', 1.25), ('dar', 1.2), ('BE', 1.02), ('MI', 0.9), ('▁gros', 0.66), ('pez', 0.64), ('cies', 0.62)]","[('A', 28.02), ('C', 24.71), ('B', 23.1), ('D', 7.84), ('<0x0A>', 3.6), ('▁D', 3.36), ('▁A', 1.38), ('The', 1.27), ('M', 0.8), ('▁C', 0.75)]"
layer27,"[('<0x0A>', 3.76), ('the', 2.95), ('▁turns', 2.35), ('▁based', 1.82), ('▁THE', 1.31), ('▁the', 1.28), ('▁enjo', 0.7), ('</s>', 0.7), ('The', 0.55), ('Turn', 0.4)]","[('A', 25.51), ('C', 18.73), ('<0x0A>', 18.17), ('B', 16.27), ('D', 7.34), ('The', 3.45), ('the', 1.4), ('▁D', 1.33), ('▁A', 1.07), ('M', 1.01)]","[('A', 14.59), ('C', 14.1), ('e', 9.71), ('D', 3.5), ('M', 3.28), ('G', 2.79), ('H', 1.48), ('F', 1.05), ('T', 0.91), ('B', 0.89)]","[('A', 35.57), ('C', 26.33), ('B', 12.73), ('<0x0A>', 9.98), ('D', 8.0), ('The', 1.8), ('M', 1.19), ('G', 0.69), ('▁D', 0.52), ('the', 0.41)]"
layer28,"[('▁D', 71.07), ('▁C', 27.14), ('▁A', 1.25), ('▁B', 0.39), ('C', 0.13), ('A', 0.01), ('D', 0.01), ('B', 0.0), ('▁Д', 0.0), ('▁Ber', 0.0)]","[('C', 47.11), ('A', 25.78), ('B', 10.41), ('D', 7.12), ('▁D', 6.89), ('▁C', 1.32), ('▁A', 0.97), ('<0x0A>', 0.14), ('▁B', 0.08), ('The', 0.04)]","[('A', 17.99), ('D', 17.58), ('AS', 7.16), ('>', 6.88), ('S', 6.7), ('b', 6.39), ('▁AS', 3.84), ('//', 3.6), ('B', 3.49), ('?', 0.99)]","[('A', 43.99), ('C', 28.62), ('D', 13.02), ('B', 12.75), ('▁D', 0.61), ('▁A', 0.5), ('▁C', 0.22), ('<0x0A>', 0.13), ('The', 0.03), ('M', 0.02)]"
layer29,"[('<0x0A>', 100.0), ('</s>', 0.0), ('<0xF0>', 0.0), ('<0xE2>', 0.0), ('&#', 0.0), ('️', 0.0), ('▁в', 0.0), ('scheidung', 0.0), ('ст', 0.0), ('berger', 0.0)]","[('A', 33.71), ('C', 29.37), ('<0x0A>', 16.2), ('D', 9.84), ('B', 9.23), ('▁D', 0.68), ('▁A', 0.41), ('▁C', 0.24), ('The', 0.09), ('▁B', 0.02)]","[('in', 9.98), ('-', 7.72), ('1', 6.49), ('C', 5.59), ('A', 3.64), ('or', 3.32), ('h', 3.24), ('com', 2.73), ('t', 2.07), ('(', 1.93)]","[('A', 40.76), ('C', 40.52), ('B', 8.83), ('D', 7.29), ('<0x0A>', 2.34), ('▁A', 0.04), ('The', 0.03), ('▁D', 0.02), ('the', 0.02), ('▁C', 0.02)]"
layer30,"[('ços', 1.76), ('bine', 0.81), ('évrier', 0.69), ('giore', 0.67), ('chten', 0.67), ('бен', 0.62), ('________________', 0.53), ('lá', 0.45), ('▁_', 0.44), ('ló', 0.42)]","[('C', 48.41), ('A', 34.73), ('D', 8.39), ('B', 7.17), ('<0x0A>', 1.01), ('The', 0.06), ('▁A', 0.05), ('▁C', 0.04), ('▁D', 0.03), ('the', 0.02)]","[('<0x0A>', 5.73), ('amp', 2.49), ('erta', 2.29), ('$$', 1.84), ('ódigo', 1.05), ('C', 1.0), ('iry', 0.98), ('<', 0.84), ('<0xF0>', 0.81), ('is', 0.67)]","[('C', 63.92), ('A', 19.51), ('D', 7.88), ('B', 5.55), ('<0x0A>', 3.03), ('The', 0.05), ('the', 0.01), ('//', 0.0), ('▁D', 0.0), ('▁C', 0.0)]"
layer31,"[('▁', 69.18), ('▁rgba', 0.41), ('▁concaten', 0.22), ('!', 0.2), ('▁▁', 0.17), ('unicí', 0.16), ('vens', 0.11), ('éroï', 0.11), ('ginx', 0.11), ('eground', 0.1)]","[('C', 74.88), ('A', 11.94), ('D', 7.16), ('B', 4.7), ('<0x0A>', 1.09), ('The', 0.03), ('▁C', 0.02), ('//', 0.01), ('BER', 0.01), ('▁D', 0.01)]","[('WHERE', 6.88), ('CLARE', 5.47), ('---+', 3.82), ('BER', 2.97), ('▁beskre', 2.24), ('CREATE', 2.1), ('DAT', 1.92), ('FROM', 1.78), ('archivi', 1.43), ('AXI', 1.39)]","[('C', 50.47), ('D', 22.8), ('A', 14.68), ('<0x0A>', 6.6), ('B', 4.1), ('BER', 0.62), ('{', 0.36), ('Ber', 0.11), ('//', 0.04), ('```', 0.02)]"
