Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer10,"[('▁SO', 0.92), ('▁above', 0.72), ('▁Mel', 0.7), ('BD', 0.56), ('▁Spr', 0.56), ('дова', 0.5), ('▁Sul', 0.47), ('://', 0.45), ('ymnasium', 0.42), ('acy', 0.4)]","[('1', 7.87), ('...', 3.09), ('2', 2.5), ('0', 2.41), ('▁j', 1.88), ('3', 1.49), ('4', 1.46), ('f', 1.33), ('▁', 1.32), ('c', 1.09)]","[('<0xAB>', 0.75), ('ovy', 0.54), ('ahlen', 0.5), ('▁ante', 0.4), ('ел', 0.4), ('culo', 0.39), ('isko', 0.33), ('<0xA3>', 0.32), ('Њ', 0.3), ('isat', 0.29)]","[('1', 12.49), ('2', 4.11), ('f', 3.71), ('0', 3.55), ('▁', 3.51), ('...', 3.27), ('4', 2.58), ('3', 1.79), ('or', 1.36), ('5', 1.12)]"
layer11,"[('▁dod', 1.35), ('icate', 1.0), ('зя', 0.68), ('▁central', 0.67), ('▁gemäß', 0.52), ('bras', 0.48), ('endo', 0.39), ('iate', 0.38), ('▁train', 0.38), ('▁dialog', 0.35)]","[('f', 11.4), ('1', 9.63), ('3', 2.85), ('4', 2.25), ('▁', 2.09), ('2', 1.76), ('B', 1.33), ('0', 1.27), ('D', 1.24), ('▁\\', 1.11)]","[('enberg', 2.76), ('ти', 0.6), ('Toggle', 0.56), ('Py', 0.4), ('<0x87>', 0.4), ('Match', 0.39), ('гли', 0.38), ('hem', 0.37), ('ByVal', 0.37), ('▁pam', 0.37)]","[('1', 8.4), ('f', 2.94), ('▁', 2.36), ('p', 1.64), ('0', 1.4), ('3', 1.39), ('...', 1.32), ('4', 1.13), ('b', 1.07), ('D', 0.86)]"
layer12,"[(""▁'"", 6.66), ('▁pol', 2.16), ('▁Pol', 0.94), ('MR', 0.71), ('▁‘', 0.64), ('▁C', 0.59), ('▁diag', 0.52), ('asi', 0.52), ('▁del', 0.5), ('ashi', 0.49)]","[('1', 10.63), ('f', 3.53), ('▁first', 3.44), ('▁', 3.34), ('4', 2.11), ('...', 2.04), ('3', 1.83), ('▁D', 1.72), (':', 1.57), ('F', 1.38)]","[('ワ', 1.21), ('▁Robin', 1.2), ('▁flash', 1.06), ('flash', 0.81), ('dorf', 0.74), ('▁yield', 0.44), ('oll', 0.42), ('▁normal', 0.41), ('▁obey', 0.39), ('▁doi', 0.39)]","[('1', 14.02), ('▁', 3.69), ('...', 3.23), ('▁first', 2.24), ('3', 2.09), ('0', 2.05), ('b', 1.89), ('4', 1.69), (':', 1.5), ('>', 1.41)]"
layer13,"[('uro', 1.31), ('isk', 0.85), ('▁TypeError', 0.83), ('▁Howard', 0.82), ('icher', 0.76), ('▁Kun', 0.67), ('▁cum', 0.64), ('ava', 0.47), ('▁la', 0.45), ('▁reconna', 0.43)]","[('1', 9.14), ('▁', 3.73), ('...', 3.12), ('▁first', 2.0), ('3', 1.65), ('0', 1.48), ('▁+', 1.3), ('i', 1.27), ('b', 1.17), (':', 1.1)]","[('anne', 1.83), ('ấ', 1.72), ('iform', 1.05), ('lib', 0.93), ('gz', 0.77), ('rc', 0.65), ('▁pr', 0.58), ('lak', 0.57), ('ettings', 0.52), ('kbd', 0.43)]","[('1', 13.99), ('▁', 6.21), ('0', 2.95), ('...', 2.0), ('3', 1.89), ('s', 1.75), ('2', 1.02), ('▁first', 0.99), ('4', 0.98), ('A', 0.97)]"
layer14,"[('ід', 1.68), ('DL', 1.18), ('asion', 0.91), ('▁Mel', 0.91), ('▁pla', 0.69), ('▁des', 0.6), ('▁Diet', 0.5), ('▁di', 0.49), ('hens', 0.41), ('▁gl', 0.39)]","[('1', 14.7), ('▁', 7.74), ('...', 1.54), ('b', 1.08), ('0', 0.99), ('<0x0A>', 0.95), ('s', 0.92), ('....', 0.73), ('▁D', 0.69), ('3', 0.68)]","[('<0x9B>', 0.9), ('zeg', 0.78), ('zo', 0.62), ('rak', 0.53), ('rog', 0.46), ('iech', 0.44), ('▁dil', 0.41), ('wo', 0.37), ('ную', 0.36), ('визи', 0.35)]","[('1', 20.1), ('▁', 7.45), ('...', 1.93), ('b', 1.73), ('2', 1.25), ('0', 1.23), ('<0x0A>', 1.14), ('R', 1.01), ('....', 0.96), ('3', 0.87)]"
layer15,"[(':', 1.45), ('ю', 0.97), ('asto', 0.87), ('vat', 0.86), ('▁[', 0.72), ('ym', 0.7), ('ode', 0.61), ('DM', 0.49), ('ni', 0.43), ('t', 0.4)]","[('1', 31.02), ('▁', 6.3), ('b', 3.07), ('0', 2.88), ('2', 2.07), ('A', 1.76), ('...', 1.51), ('<0x0A>', 1.14), ('3', 1.07), ('f', 1.06)]","[('ША', 2.88), ('▁datab', 2.58), ('numer', 1.45), ('jas', 1.35), ('▁Sta', 1.11), ('▁occ', 0.92), ('strip', 0.76), ('tain', 0.73), ('ík', 0.55), ('alet', 0.48)]","[('1', 31.54), ('b', 6.96), ('0', 4.47), ('2', 3.01), ('3', 2.24), ('A', 2.2), ('▁', 2.1), ('R', 1.83), ('4', 1.1), ('S', 0.89)]"
layer16,"[('▁D', 72.57), ('D', 1.15), ('▁(', 0.64), ('▁G', 0.42), ('Delete', 0.32), ('urity', 0.26), ('▁fa', 0.22), ('(', 0.19), ('▁Д', 0.18), ('▁Dave', 0.14)]","[('1', 28.87), ('▁', 6.65), ('b', 3.81), ('A', 3.09), ('0', 3.04), ('2', 2.81), ('3', 2.29), ('▁\\', 1.37), ('▁D', 1.24), ('<0x0A>', 1.08)]","[('▁dens', 1.63), ('hens', 1.08), ('dens', 0.66), ('CI', 0.61), ('▁Meyer', 0.58), ('▁Pit', 0.53), ('▁hal', 0.44), ('eus', 0.43), ('aus', 0.41), ('haupt', 0.39)]","[('1', 14.99), ('A', 6.9), ('▁', 4.68), ('0', 2.53), ('2', 2.11), ('▁D', 1.91), ('R', 1.81), ('D', 1.64), ('3', 1.27), ('b', 1.1)]"
layer17,"[('▁D', 30.26), ('▁d', 0.94), ('oles', 0.78), ('unde', 0.76), ('▁DE', 0.7), ('▁e', 0.68), ('▁De', 0.67), ('D', 0.48), ('ilda', 0.38), ('▁E', 0.38)]","[('1', 17.36), ('▁D', 7.98), ('D', 4.97), ('A', 4.26), ('▁', 2.32), ('0', 2.27), ('2', 1.73), ('R', 1.64), ('3', 1.26), ('b', 0.94)]","[('座', 0.94), ('ability', 0.78), ('▁Michel', 0.73), ('Footnote', 0.62), ('ety', 0.61), ('▁Veg', 0.52), ('ella', 0.51), ('cpp', 0.48), ('▁wand', 0.45), ('▁return', 0.4)]","[('1', 30.49), ('A', 4.87), ('D', 4.58), ('▁', 4.36), ('2', 2.93), ('▁D', 2.62), ('0', 2.31), ('R', 1.27), ('3', 1.14), ('i', 0.87)]"
layer18,"[('▁#', 86.46), ('▁№', 1.57), ('№', 0.14), ('mic', 0.13), ('item', 0.12), ('▁item', 0.12), ('▁""#', 0.1), ('igin', 0.09), ('#', 0.09), ('vat', 0.09)]","[('1', 14.81), ('A', 8.32), ('D', 6.92), ('B', 2.85), ('#', 2.61), ('▁', 2.51), ('C', 1.79), ('▁D', 1.65), ('▁#', 1.59), ('G', 1.54)]","[('zan', 2.78), ('‹', 1.05), ('▁Bull', 0.63), ('▁Monde', 0.57), ('▁Sau', 0.55), ('ur', 0.54), ('▁laten', 0.54), ('anel', 0.54), ('IC', 0.45), ('▁prayer', 0.4)]","[('1', 11.53), ('A', 8.41), ('B', 7.77), ('D', 7.37), ('C', 3.18), ('▁', 2.06), ('#', 1.98), ('R', 1.84), ('G', 1.62), ('F', 1.57)]"
layer19,"[('▁G', 10.7), ('▁St', 8.63), ('▁Sk', 4.64), ('St', 3.76), ('▁T', 2.17), ('▁ST', 1.87), ('▁R', 1.77), ('▁N', 1.28), ('▁H', 1.24), ('▁A', 1.13)]","[('1', 13.21), ('D', 11.67), ('A', 8.2), ('B', 6.64), ('▁', 3.88), ('C', 3.21), ('R', 2.09), ('▁D', 1.96), ('G', 1.91), ('F', 1.58)]","[('▁cir', 0.72), ('ív', 0.58), ('▁opport', 0.57), ('▁grav', 0.55), ('ighth', 0.51), ('ikor', 0.5), ('▁lat', 0.48), ('▁cors', 0.48), ('ỳ', 0.47), ('<0xBD>', 0.45)]","[('1', 14.8), ('D', 9.41), ('A', 8.21), ('B', 6.37), ('▁', 5.43), ('R', 2.45), ('C', 1.83), ('0', 1.67), ('▁D', 1.57), ('F', 1.56)]"
layer20,"[('▁Storage', 71.24), ('▁storage', 26.6), ('Storage', 1.85), ('storage', 0.29), ('▁stored', 0.01), ('▁stor', 0.01), ('▁storing', 0.01), ('▁E', 0.0), ('stor', 0.0), ('▁Store', 0.0)]","[('D', 22.02), ('1', 10.12), ('A', 7.4), ('▁', 4.33), ('E', 4.12), ('▁D', 3.57), ('B', 3.55), ('F', 2.48), ('C', 1.93), ('R', 1.36)]","[('▁}', 1.22), ('cho', 0.97), ('▁dev', 0.91), ('▁rad', 0.79), ('▁Islam', 0.51), ('▁Bent', 0.5), ('▁Christian', 0.48), ('▁away', 0.48), ('obe', 0.46), ('▁Sil', 0.36)]","[('D', 21.69), ('1', 10.62), ('A', 8.34), ('▁', 7.07), ('▁D', 5.09), ('B', 4.47), ('E', 3.48), ('C', 2.95), ('F', 2.04), ('R', 1.63)]"
layer21,"[('▁D', 99.05), ('D', 0.94), ('(', 0.0), ('▁Д', 0.0), ('{(', 0.0), ('▁(', 0.0), ('▁$(', 0.0), ('Д', 0.0), ('▁DA', 0.0), ('DF', 0.0)]","[('D', 65.32), ('▁D', 26.77), ('1', 1.27), ('A', 1.03), ('▁', 0.82), ('B', 0.38), ('C', 0.36), ('E', 0.23), ('F', 0.18), ('R', 0.12)]","[('aggio', 1.8), ('bero', 0.91), ('▁inher', 0.73), ('ila', 0.54), ('terra', 0.54), ('Ľ', 0.53), ('<0x8A>', 0.48), ('▁soap', 0.43), ('Bas', 0.43), ('mb', 0.41)]","[('D', 78.55), ('▁D', 14.47), ('1', 1.02), ('A', 0.82), ('▁', 0.77), ('B', 0.5), ('C', 0.3), ('E', 0.22), ('F', 0.18), ('R', 0.17)]"
layer22,"[('▁A', 0.61), ('▁E', 0.28), ('▁VIII', 0.27), ('▁VII', 0.22), ('ays', 0.22), ('cules', 0.21), ('GG', 0.18), ('atte', 0.17), ('HH', 0.15), ('▁D', 0.15)]","[('D', 76.0), ('▁D', 12.89), ('A', 1.4), ('1', 0.99), ('▁', 0.7), ('E', 0.56), ('B', 0.5), ('C', 0.46), ('F', 0.26), ('R', 0.25)]","[('cze', 3.36), ('▁Censo', 2.19), ('elo', 1.6), ('margin', 1.19), ('DM', 0.5), ('itas', 0.48), ('auc', 0.44), ('ajes', 0.43), ('tests', 0.43), ('ler', 0.37)]","[('D', 84.59), ('▁D', 5.63), ('A', 1.09), ('1', 0.82), ('C', 0.53), ('B', 0.53), ('E', 0.44), ('▁', 0.33), ('F', 0.25), ('R', 0.23)]"
layer23,"[('▁modules', 51.74), ('▁Module', 22.91), ('▁module', 19.93), ('Module', 4.21), ('module', 1.15), ('modules', 0.04), ('▁Mod', 0.02), ('▁mod', 0.0), ('▁(', 0.0), ('Mod', 0.0)]","[('D', 82.07), ('▁D', 3.32), ('A', 1.94), ('1', 1.13), ('C', 0.86), ('B', 0.78), ('E', 0.56), ('▁', 0.53), ('R', 0.3), ('F', 0.29)]","[('iment', 0.96), ('▁Резу', 0.9), ('lets', 0.87), ('ando', 0.72), ('Q', 0.69), ('▁feeling', 0.63), ('anna', 0.62), ('▁march', 0.55), ('ip', 0.54), ('▁specific', 0.52)]","[('D', 79.27), ('▁D', 3.68), ('A', 2.03), ('1', 1.64), ('B', 1.1), ('C', 1.09), ('▁', 1.04), ('E', 1.0), ('M', 0.41), ('G', 0.4)]"
layer24,"[('▁Storage', 30.76), ('▁retr', 20.99), ('▁storage', 18.49), ('Ret', 10.44), ('▁Retrie', 10.4), ('Storage', 4.17), ('storage', 1.26), ('▁retrieve', 1.24), ('▁Ret', 0.69), ('▁storing', 0.48)]","[('D', 83.03), ('▁D', 4.5), ('A', 1.29), ('C', 0.83), ('B', 0.74), ('E', 0.67), ('▁', 0.55), ('1', 0.52), ('F', 0.38), ('G', 0.26)]","[('inkel', 2.94), ('press', 0.74), ('zna', 0.71), ('▁A', 0.59), ('▁ins', 0.57), ('▁mig', 0.5), ('▁Can', 0.48), ('▁Login', 0.45), ('▁De', 0.44), ('▁Us', 0.41)]","[('D', 80.92), ('▁D', 4.46), ('A', 1.93), ('B', 1.08), ('▁', 0.9), ('C', 0.87), ('E', 0.76), ('1', 0.5), ('F', 0.49), ('S', 0.33)]"
layer25,"[('▁–', 56.68), ('1', 7.91), ('▁XIII', 1.98), ('?}', 0.89), ('▁XI', 0.53), ('▁XVII', 0.49), ('!}', 0.48), ('}</', 0.41), ('text', 0.33), ('ǧ', 0.33)]","[('D', 74.65), ('1', 2.38), ('▁D', 2.32), ('B', 2.11), ('A', 1.41), ('▁', 1.23), ('E', 0.96), ('C', 0.8), ('F', 0.62), ('S', 0.47)]","[('▁B', 45.62), ('▁D', 28.3), ('▁C', 19.06), ('C', 3.84), ('▁A', 0.77), ('E', 0.35), ('▁E', 0.32), ('D', 0.31), ('A', 0.22), ('▁d', 0.08)]","[('D', 83.65), ('▁D', 5.89), ('B', 1.68), ('A', 1.5), ('C', 1.44), ('E', 1.12), ('1', 0.78), ('F', 0.44), ('▁', 0.28), ('G', 0.16)]"
layer26,"[('▁E', 38.58), ('▁D', 13.36), (""▁'"", 8.14), ('▁A', 5.74), ('▁""', 4.36), ('▁F', 2.95), ('▁H', 2.17), ('E', 1.49), ('▁G', 1.44), ('▁[', 0.69)]","[('D', 62.97), ('▁D', 23.02), ('A', 2.84), ('E', 2.24), ('C', 0.93), ('B', 0.91), ('1', 0.67), ('F', 0.59), ('▁', 0.52), ('▁A', 0.42)]","[('P', 1.85), ('p', 1.29), ('in', 1.24), ('▁invest', 1.23), ('u', 1.06), ('▁pic', 1.03), ('pet', 1.01), ('▁a', 0.99), ('c', 0.98), ('E', 0.95)]","[('D', 69.53), ('▁D', 15.03), ('A', 3.96), ('E', 3.2), ('C', 1.2), ('B', 0.87), ('F', 0.72), ('1', 0.6), ('▁', 0.59), ('G', 0.33)]"
layer27,"[('""}', 32.79), ('}', 11.72), (""'}"", 3.36), ('!}', 3.12), ('()}', 2.87), ('}&', 1.78), ('}.', 1.39), ('""', 0.71), ('▁go', 0.49), ('""?', 0.48)]","[('D', 69.93), ('▁D', 7.55), ('A', 4.18), ('E', 3.15), ('C', 1.48), ('B', 1.25), ('1', 1.12), ('F', 0.99), ('▁', 0.88), ('G', 0.41)]","[('i', 48.62), ('A', 8.76), ('C', 6.28), ('G', 6.22), ('H', 6.03), ('S', 2.78), ('P', 1.66), ('I', 1.38), ('M', 1.21), ('R', 1.2)]","[('D', 76.61), ('A', 6.69), ('E', 3.56), ('▁D', 3.05), ('C', 2.26), ('B', 1.31), ('F', 0.74), ('1', 0.7), ('G', 0.63), ('▁', 0.43)]"
layer28,"[('▁D', 41.68), ('D', 1.52), (':)', 1.05), ('▁Д', 0.89), ('DF', 0.72), ('A', 0.4), ('▁–', 0.38), ('ctions', 0.37), ('▁|', 0.34), ('DK', 0.28)]","[('D', 80.1), ('▁D', 6.01), ('A', 5.06), ('E', 3.19), ('B', 0.97), ('C', 0.97), ('G', 0.46), ('F', 0.39), ('1', 0.22), ('▁', 0.13)]","[('▁retro', 5.74), ('astern', 2.08), ('SK', 1.17), ('Ret', 1.02), ('sk', 0.57), ('▁ret', 0.53), ('less', 0.52), ('[]{', 0.49), ('ret', 0.48), ('合', 0.48)]","[('D', 83.04), ('A', 7.91), ('E', 3.01), ('B', 1.38), ('C', 1.26), ('G', 0.61), ('▁D', 0.44), ('F', 0.42), ('M', 0.16), ('1', 0.16)]"
layer29,"[('▁F', 2.62), ('▁Ф', 0.38), ('▁withdraw', 0.25), ('▁FK', 0.21), ('▁)', 0.19), ('F', 0.15), ('...)', 0.14), ('▁Brad', 0.14), ('▁FB', 0.14), ('▁pulled', 0.13)]","[('D', 74.76), ('A', 8.02), ('E', 3.15), ('▁D', 1.66), ('B', 1.66), ('C', 1.62), ('F', 1.1), ('G', 0.74), ('1', 0.39), ('▁A', 0.23)]","[('A', 19.38), ('D', 14.07), ('mod', 13.86), ('E', 3.33), ('C', 3.02), ('for', 2.7), ('1', 2.44), ('F', 2.35), ('Mod', 1.74), ('B', 1.54)]","[('D', 81.06), ('A', 9.48), ('E', 2.81), ('C', 1.44), ('B', 1.3), ('F', 0.94), ('G', 0.37), ('1', 0.34), ('▁D', 0.33), ('I', 0.07)]"
layer30,"[('ongodb', 0.61), ('iwers', 0.45), ('❯', 0.45), ('▸', 0.3), ('ynomial', 0.23), ('Asset', 0.23), ('Bag', 0.23), ('iczn', 0.2), ('ану', 0.18), ('Verlag', 0.17)]","[('D', 72.0), ('A', 11.62), ('E', 3.62), ('B', 1.65), ('C', 1.43), ('F', 1.27), ('1', 0.39), ('G', 0.36), ('▁D', 0.34), ('▁storage', 0.17)]","[('D', 46.18), ('F', 10.43), ('B', 6.6), ('G', 5.41), ('1', 4.61), ('R', 4.14), ('H', 3.64), ('A', 2.32), ('3', 2.24), ('C', 1.73)]","[('D', 87.49), ('A', 6.7), ('E', 1.85), ('B', 1.18), ('F', 1.0), ('C', 0.74), ('1', 0.24), ('G', 0.24), ('H', 0.05), ('▁D', 0.03)]"
layer31,"[('▁-', 0.5), ('<0x09>', 0.47), ('idenote', 0.43), ('▁GND', 0.37), ('▁decode', 0.36), ('序', 0.32), ('..', 0.27), ('▁angularjs', 0.25), ('crement', 0.25), ('...', 0.24)]","[('D', 86.0), ('A', 5.12), ('E', 2.38), ('B', 1.37), ('F', 1.24), ('C', 1.15), ('1', 0.42), ('G', 0.24), ('▁Storage', 0.12), ('▁storage', 0.11)]","[('virt', 0.82), ('E', 0.78), ('A', 0.75), ('F', 0.69), ('D', 0.65), ('---+', 0.63), ('Draw', 0.43), ('analy', 0.37), ('refer', 0.36), ('--+', 0.28)]","[('D', 93.22), ('A', 3.93), ('E', 1.66), ('F', 0.71), ('B', 0.28), ('C', 0.14), ('1', 0.03), ('G', 0.02), ('H', 0.0), ('I', 0.0)]"
