Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer10,"[('дова', 2), ('olia', 1), ('ån', 1), ('iből', 1), ('hai', 0), ('ucha', 0), ('above', 0), ('acy', 0), ('arel', 0), ('ram', 0)]","[('brie', 0), ('dfs', 0), ('kwiet', 0), ('j', 0), ('layers', 0), ('Jules', 0), ('孝', 0), ('hat', 0), ('Complex', 0), ('Ej', 0)]","[('�', 0), ('trou', 0), ('isat', 0), ('hnen', 0), ('ovy', 0), ('~[', 0), ('Ren', 0), ('somet', 0), ('éné', 0), ('йм', 0)]","[('brie', 0), ('layers', 0), ('kwiet', 0), ('hat', 0), ('aram', 0), ('cente', 0), ('onda', 0), ('ouwen', 0), ('ето', 0), ('竹', 0)]"
layer11,"[('ederb', 2), ('externas', 1), ('endo', 1), ('VICE', 1), ('дав', 0), ('ués', 0), ('úblic', 0), ('idea', 0), ('зя', 0), ('dro', 0)]","[('layers', 1), ('doFilter', 1), ('его', 0), ('kwiet', 0), ('idea', 0), ('cente', 0), ('Sitz', 0), ('uit', 0), ('layers', 0), ('brie', 0)]","[('ann', 4), ('strap', 1), ('cli', 0), ('pedig', 0), ('ByVal', 0), ('mos', 0), ('Пе', 0), ('Fire', 0), ('stra', 0), ('iter', 0)]","[('layers', 1), ('ово', 0), ('Sitz', 0), ('burger', 0), ('udio', 0), ('aram', 0), ('lide', 0), ('Express', 0), ('fred', 0), ('erdings', 0)]"
layer12,"[('lint', 2), (""'"", 1), ('rules', 0), ('pol', 0), ('terne', 0), ('ög', 0), ('rules', 0), ('нциклопеди', 0), ('cente', 0), ('ruled', 0)]","[('layers', 2), ('cente', 1), ('burger', 1), ('Sitz', 0), ('cin', 0), ('headers', 0), ('ово', 0), ('fred', 0), ('first', 0), ('Aber', 0)]","[('uve', 1), ('dorf', 1), ('ap', 1), ('exc', 0), ('ifen', 0), ('ワ', 0), ('append', 0), ('relative', 0), ('ori', 0), ('aca', 0)]","[('headers', 1), ('aram', 1), ('fred', 1), ('cente', 0), ('burger', 0), ('bert', 0), ('first', 0), ('automatically', 0), ('̂', 0), ('Drive', 0)]"
layer13,"[('adora', 1), ('jur', 1), ('fr', 0), ('onato', 0), ('bu', 0), ('odos', 0), ('Complex', 0), ('oba', 0), ('intersection', 0), ('enberg', 0)]","[('fred', 2), ('burger', 2), ('appropri', 0), ('headers', 0), ('Energy', 0), ('erdings', 0), ('рис', 0), ('appropriate', 0), ('égr', 0), ('cente', 0)]","[('rc', 2), ('qq', 1), ('ấ', 1), ('ttp', 1), ('wur', 0), ('obil', 0), ('gz', 0), ('Brandenburg', 0), ('fis', 0), ('eres', 0)]","[('burger', 4), ('fred', 1), ('uit', 0), ('Energy', 0), ('EGIN', 0), ('ĭ', 0), ('рис', 0), ('oben', 0), ('McK', 0), ('cente', 0)]"
layer14,"[('HS', 1), ('Donald', 1), ('odor', 1), ('explo', 0), ('endorf', 0), ('agini', 0), ('доступ', 0), ('hens', 0), ('DL', 0), ('riel', 0)]","[('burger', 1), ('fred', 0), ('cente', 0), ('erdings', 0), ('uit', 0), ('uniqu', 0), ('Jer', 0), ('Daily', 0), ('agini', 0), ('dfs', 0)]","[('porte', 1), ('istik', 1), ('aus', 0), ('tres', 0), ('wo', 0), ('unta', 0), ('Wikip', 0), ('体', 0), ('cem', 0), ('axy', 0)]","[('burger', 3), ('....', 0), ('dfs', 0), ('uit', 0), ('+)', 0), ('cente', 0), ('Jer', 0), ('Daily', 0), ('őd', 0), ('uniqu', 0)]"
layer15,"[('живе', 1), ('adel', 1), ('aden', 1), ('あ', 0), ('illaume', 0), ('gende', 0), ('ю', 0), ('icamente', 0), ('forge', 0), ('atform', 0)]","[('burger', 3), ('McK', 0), ('uit', 0), ('agini', 0), ('cente', 0), ('Jer', 0), ('dfs', 0), ('branches', 0), ('uniqu', 0), ('мери', 0)]","[('datab', 2), ('gow', 2), ('totalité', 1), ('occ', 1), ('égl', 0), ('切', 0), ('zat', 0), ('alet', 0), ('horn', 0), ('uno', 0)]","[('burger', 1), ('gan', 0), ('cente', 0), ('agini', 0), ('Charlot', 0), ('dfs', 0), ('竹', 0), ('änner', 0), ('....', 0), ('opol', 0)]"
layer16,"[('D', 71), ('дав', 0), ('D', 0), ('Д', 0), ('department', 0), ('ด', 0), ('DP', 0), ('anci', 0), ('̂', 0), ('eor', 0)]","[('cente', 1), ('burger', 1), ('D', 1), ('dfs', 1), ('undo', 0), ('DP', 0), ('imo', 0), ('agini', 0), ('Charlot', 0), ('dale', 0)]","[('haupt', 2), ('Pit', 1), ('enz', 1), ('dens', 0), ('verk', 0), ('œuvre', 0), ('ruf', 0), ('capit', 0), ('iella', 0), ('dens', 0)]","[('burger', 2), ('D', 0), ('undo', 0), ('dfs', 0), ('...)', 0), ('Charlot', 0), ('Hans', 0), ('ván', 0), ('haupt', 0), ('соответ', 0)]"
layer17,"[('Label', 2), ('Label', 1), ('erm', 1), ('ze', 1), ('WID', 1), ('hook', 0), ('""(', 0), ('unde', 0), ('LAB', 0), ('aj', 0)]","[('D', 1), ('burger', 1), ('undo', 1), ('+)', 0), ('соответ', 0), ('...)', 0), ('cente', 0), ('dale', 0), ('Hans', 0), ('agini', 0)]","[('座', 2), ('Columns', 0), ('beck', 0), ('Pref', 0), ('ability', 0), ('cca', 0), ('cket', 0), ('ongodb', 0), ('府', 0), ('library', 0)]","[('+)', 2), ('burger', 1), ('undo', 1), ('dale', 0), ('D', 0), ('dfs', 0), ('Charlot', 0), ('соответ', 0), ('...)', 0), ('haupt', 0)]"
layer18,"[('F', 59), ('#', 14), ('F', 3), ('letter', 1), ('#(', 1), ('alphabet', 0), ('Ф', 0), ('oport', 0), ('igin', 0), ('letters', 0)]","[('D', 2), ('burger', 1), ('+)', 1), ('undo', 0), ('dfs', 0), ('lem', 0), ('Charlot', 0), ('F', 0), ('ropy', 0), ('ď', 0)]","[('zan', 2), ('a', 1), ('ave', 0), ('(/', 0), ('ragment', 0), ('‹', 0), ('ответ', 0), ('ur', 0), ('IC', 0), ('mar', 0)]","[('+)', 2), ('D', 1), ('burger', 1), ('dfs', 1), ('ď', 0), ('lem', 0), ('...)', 0), ('F', 0), ('undo', 0), ('D', 0)]"
layer19,"[('G', 37), ('K', 26), ('N', 0), ('ﬁ', 0), ('Schw', 0), ('usch', 0), ('stack', 0), ('deploy', 0), ('display', 0), ('дон', 0)]","[('D', 3), ('+)', 2), ('F', 1), ('D', 0), ('...)', 0), ('ď', 0), ('undo', 0), ('burger', 0), ('dfs', 0), ('A', 0)]","[('SC', 1), ('cors', 1), ('ív', 0), ('�', 0), ('skog', 0), ('ikor', 0), ('tring', 0), ('inverse', 0), ('opport', 0), ('Loren', 0)]","[('D', 6), ('+)', 3), ('F', 2), ('D', 1), ('...)', 0), ('ď', 0), ('B', 0), ('A', 0), ('undo', 0), ('F', 0)]"
layer20,"[('Storage', 71), ('storage', 18), ('Storage', 6), ('E', 1), ('storage', 1), ('stored', 0), ('storing', 0), ('stor', 0), ('stor', 0), ('E', 0)]","[('D', 14), ('F', 3), ('E', 2), ('D', 2), ('+)', 1), ('...)', 0), ('uit', 0), ('F', 0), ('storage', 0), ('ď', 0)]","[(""'}"", 6), ('*}', 4), ('?}', 1), ('ּ', 1), ('}', 1), ('ritt', 1), ('()}', 0), ('!}', 0), ('ací', 0), ('onomy', 0)]","[('D', 16), ('D', 2), ('+)', 2), ('E', 2), ('F', 2), ('ď', 0), ('...)', 0), ('B', 0), ('iella', 0), ('F', 0)]"
layer21,"[('D', 99), ('D', 0), ('Д', 0), ('transport', 0), ('transport', 0), ('(', 0), ('Transport', 0), ('(', 0), ('C', 0), ('Transport', 0)]","[('D', 92), ('D', 4), ('+)', 0), ('F', 0), ('E', 0), ('B', 0), ('...)', 0), ('storage', 0), ('C', 0), ('F', 0)]","[('A', 19), ('A', 15), ('ァ', 1), ('AB', 0), ('berga', 0), ('dur', 0), ('terra', 0), ('�', 0), ('raste', 0), ('kou', 0)]","[('D', 91), ('D', 6), ('A', 0), ('+)', 0), ('F', 0), ('B', 0), ('E', 0), ('A', 0), ('C', 0), ('undo', 0)]"
layer22,"[('CN', 77), ('G', 11), ('H', 2), ('G', 0), ('cn', 0), ('CNN', 0), ('A', 0), ('HH', 0), ('Nancy', 0), ('H', 0)]","[('D', 91), ('D', 4), ('A', 0), ('E', 0), ('F', 0), ('+)', 0), ('B', 0), ('A', 0), ('G', 0), ('C', 0)]","[('Identity', 2), ('ensus', 1), ('limp', 1), ('encias', 0), ('ClickListener', 0), ('jak', 0), ('proport', 0), ('patr', 0), ('AS', 0), ('Gut', 0)]","[('D', 88), ('D', 7), ('F', 0), ('E', 0), ('A', 0), ('+)', 0), ('B', 0), ('G', 0), ('F', 0), ('C', 0)]"
layer23,"[('modules', 41), ('module', 23), ('Module', 19), ('M', 11), ('Module', 2), ('module', 1), ('M', 0), ('Mod', 0), ('L', 0), ('LM', 0)]","[('D', 84), ('D', 8), ('A', 0), ('F', 0), ('E', 0), ('+)', 0), ('B', 0), ('L', 0), ('ď', 0), ('Daily', 0)]","[('Q', 38), ('K', 12), ('G', 8), ('Q', 4), ('E', 2), ('J', 2), ('F', 0), ('ken', 0), ('q', 0), ('Z', 0)]","[('D', 90), ('D', 5), ('E', 0), ('F', 0), ('G', 0), ('B', 0), ('A', 0), ('L', 0), ('C', 0), ('+)', 0)]"
layer24,"[('storage', 50), ('Storage', 24), ('retr', 14), ('Storage', 3), ('Retrie', 3), ('storage', 1), ('Ret', 0), ('retrieve', 0), ('Ret', 0), ('storing', 0)]","[('D', 87), ('D', 7), ('storage', 1), ('Storage', 0), ('retr', 0), ('Storage', 0), ('retrieve', 0), ('F', 0), ('stored', 0), ('E', 0)]","[('inkel', 3), ('gren', 2), ('otti', 1), ('orno', 1), ('ază', 0), ('ี', 0), ('innen', 0), ('krie', 0), ('Référence', 0), ('ITable', 0)]","[('D', 88), ('D', 6), ('storage', 1), ('Storage', 0), ('retr', 0), ('stored', 0), ('F', 0), ('Storage', 0), ('retrieve', 0), ('A', 0)]"
layer25,"[('–', 99), ('Paint', 0), ('paint', 0), ('painting', 0), ('painted', 0), ('pain', 0), ('painter', 0), ('peint', 0), ('-', 0), ('--', 0)]","[('D', 82), ('D', 9), ('storage', 1), ('Storage', 0), ('retr', 0), ('Storage', 0), ('stored', 0), ('F', 0), ('retrieve', 0), ('B', 0)]","[('D', 99), ('D', 0), ('B', 0), ('C', 0), ('E', 0), ('Д', 0), ('Dy', 0), ('DBC', 0), ('d', 0), ('A', 0)]","[('D', 95), ('D', 3), ('storage', 0), ('B', 0), ('E', 0), ('A', 0), ('Storage', 0), ('F', 0), ('stored', 0), ('retr', 0)]"
layer26,"[('inst', 50), ('K', 35), ('Inst', 3), ('dr', 3), ('H', 1), ('inst', 0), ('Dr', 0), ('E', 0), ('Institute', 0), ('Inst', 0)]","[('D', 97), ('D', 1), ('E', 0), ('A', 0), ('storage', 0), ('F', 0), ('B', 0), ('Storage', 0), ('stored', 0), ('C', 0)]","[('CI', 0), ('cí', 0), ('rès', 0), ('useppe', 0), ('ettes', 0), ('AX', 0), ('reso', 0), ('estimated', 0), ('servable', 0), ('sav', 0)]","[('D', 97), ('D', 2), ('storage', 0), ('E', 0), ('F', 0), ('A', 0), ('Storage', 0), ('E', 0), ('B', 0), ('stored', 0)]"
layer27,"[('click', 4), ('""}', 1), ('}>', 1), ('}', 0), ('}{', 0), ('Bull', 0), ('give', 0), ('download', 0), ('picture', 0), ('}', 0)]","[('D', 96), ('D', 2), ('storage', 0), ('E', 0), ('F', 0), ('A', 0), ('Storage', 0), ('B', 0), ('E', 0), ('Storage', 0)]","[('I', 9), ('i', 8), ('C', 5), ('iella', 3), ('O', 2), ('H', 2), ('G', 1), ('A', 0), ('M', 0), ('a', 0)]","[('D', 91), ('D', 7), ('storage', 0), ('Storage', 0), ('E', 0), ('E', 0), ('A', 0), ('F', 0), ('A', 0), ('stored', 0)]"
layer28,"[('–', 96), ('D', 2), ('H', 0), ('E', 0), ('K', 0), ('B', 0), ('J', 0), ('–', 0), ('H', 0), ('D', 0)]","[('D', 96), ('D', 3), ('E', 0), ('F', 0), ('A', 0), ('E', 0), ('storage', 0), ('A', 0), ('B', 0), ('–', 0)]","[('I', 19), ('Ret', 14), ('ret', 7), ('S', 4), ('waiting', 3), ('ret', 3), ('B', 3), ('C', 2), ('G', 2), ('retro', 2)]","[('D', 60), ('D', 35), ('A', 0), ('E', 0), ('C', 0), ('E', 0), ('G', 0), ('A', 0), ('storage', 0), ('F', 0)]"
layer29,"[('F', 73), ('the', 1), ('A', 1), ('C', 0), ('the', 0), (')[', 0), ('}{', 0), ('produit', 0), (')}{', 0), ('E', 0)]","[('D', 46), ('D', 45), ('F', 0), ('A', 0), ('E', 0), ('A', 0), ('E', 0), ('C', 0), ('F', 0), ('G', 0)]","[('L', 21), ('D', 16), ('A', 10), ('1', 10), ('F', 7), ('B', 5), ('I', 1), ('G', 1), ('CH', 1), ('J', 1)]","[('D', 83), ('D', 9), ('A', 1), ('E', 0), ('C', 0), ('F', 0), ('F', 0), ('G', 0), ('A', 0), ('B', 0)]"
layer30,"[('produ', 29), ('produ', 2), ('Produ', 1), ('produz', 1), ('produced', 0), ('producing', 0), ('produce', 0), ('❯', 0), ('LENG', 0), ('produces', 0)]","[('D', 87), ('D', 4), ('A', 2), ('E', 1), ('F', 0), ('C', 0), ('G', 0), ('B', 0), ('F', 0), ('A', 0)]","[('B', 15), ('D', 15), ('I', 14), ('F', 12), ('1', 5), ('H', 3), ('L', 3), ('S', 3), ('C', 2), ('M', 1)]","[('D', 93), ('A', 1), ('D', 1), ('F', 1), ('E', 0), ('C', 0), ('B', 0), ('G', 0), ('L', 0), ('H', 0)]"
layer31,"[('(', 45), ('(', 6), ('(-', 2), ('_', 1), ('[', 1), ('/', 0), ('*(', 0), ('+', 0), ('[', 0), ('*', 0)]","[('D', 92), ('A', 1), ('F', 1), ('C', 0), ('D', 0), ('E', 0), ('B', 0), ('G', 0), ('L', 0), ('H', 0)]","[('K', 4), ('I', 0), ('H', 0), ('F', 0), ('E', 0), ('write', 0), ('find', 0), ('make', 0), ('inst', 0), ('WRITE', 0)]","[('D', 54), ('F', 11), ('A', 9), ('E', 6), ('C', 4), ('B', 2), ('G', 2), ('H', 2), ('K', 1), ('L', 1)]"
