Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer10,"[('素', 1.15), ('gepubliceerd', 1.04), ('prep', 0.98), ('ymnasium', 0.8), ('lès', 0.76), ('externas', 0.62), ('externos', 0.57), ('asm', 0.55), ('orum', 0.45), ('hi', 0.44)]","[('penas', 1.59), ('ital', 1.05), ('Hat', 0.92), ('oro', 0.81), ('espèce', 0.75), ('BD', 0.59), ('comprom', 0.44), ('differ', 0.44), ('önig', 0.36), ('externas', 0.3)]","[('estaven', 36.79), ('dra', 1.47), ('erton', 0.8), ('Proof', 0.67), ('tte', 0.6), ('PL', 0.59), ('proven', 0.56), ('iah', 0.38), ('proof', 0.37), ('cken', 0.36)]","[('penas', 0.98), ('ital', 0.8), ('avia', 0.77), ('Hat', 0.74), ('�', 0.67), ('&=\\', 0.62), ('ols', 0.57), ('bes', 0.56), ('BD', 0.54), ('estaven', 0.49)]"
layer11,"[('cov', 3.0), ('itare', 0.51), ('tid', 0.51), ('ucci', 0.47), ('дела', 0.45), ('mad', 0.41), ('bage', 0.4), ('Graphics', 0.38), ('cov', 0.37), ('房', 0.35)]","[('&=\\', 1.67), ('mens', 1.12), ('penas', 0.99), ('Hat', 0.67), ('ital', 0.63), ('�', 0.52), ('chosen', 0.46), ('oro', 0.43), ('inas', 0.43), ('aire', 0.38)]","[('reconst', 0.78), ('Storm', 0.72), ('hner', 0.69), ('ivan', 0.61), ('oval', 0.57), ('leich', 0.55), ('spin', 0.44), ('embedded', 0.43), ('Bla', 0.42), ('documentation', 0.4)]","[('penas', 2.08), ('&=\\', 0.72), ('ital', 0.5), ('chosen', 0.44), ('joint', 0.44), ('tid', 0.43), ('vd', 0.39), ('Sch', 0.32), ('от', 0.32), ('со', 0.31)]"
layer12,"[('Hint', 1.2), ('ane', 0.87), ('jan', 0.73), ('PC', 0.68), ('qué', 0.65), ('Hier', 0.6), ('dere', 0.58), ('ji', 0.49), ('Außer', 0.46), ('op', 0.43)]","[('ital', 1.1), ('oro', 1.02), ('penas', 0.44), ('hands', 0.37), ('ött', 0.36), ('joint', 0.35), ('chosen', 0.34), ('Sch', 0.33), ('icon', 0.31), ('[', 0.3)]","[('ал', 1.22), ('auer', 1.07), ('La', 0.97), ('Heb', 0.78), ('Lu', 0.6), ('m', 0.52), ('harm', 0.48), ('cl', 0.46), ('mi', 0.42), ('обра', 0.4)]","[('�', 1.32), ('(', 0.81), ('[', 0.62), ('ital', 0.57), ('egg', 0.57), ('backend', 0.53), ('Sch', 0.52), ('oro', 0.5), ('nea', 0.48), ('fol', 0.47)]"
layer13,"[('uga', 1.25), ('références', 0.58), ('reve', 0.54), ('пора', 0.39), ('atro', 0.35), ('eni', 0.35), ('atem', 0.35), ('yles', 0.34), ('organ', 0.33), ('root', 0.31)]","[('ital', 1.27), ('�', 1.23), ('lon', 0.83), ('inton', 0.7), ('moment', 0.69), ('backend', 0.62), ('[', 0.61), ('nea', 0.6), ('strength', 0.52), ('Sch', 0.5)]","[('❯', 1.31), ('tong', 0.97), ('ńczy', 0.96), ('Référence', 0.89), ('idia', 0.84), ('TD', 0.84), ('MQ', 0.7), ('nia', 0.67), ('ccion', 0.56), ('iten', 0.48)]","[('ulle', 2.19), ('TD', 1.17), ('lon', 1.12), ('nea', 0.99), ('vd', 0.72), ('egg', 0.69), ('uda', 0.65), ('ison', 0.54), ('VD', 0.46), ('ital', 0.43)]"
layer14,"[('cios', 1.35), ('odd', 0.65), ('patri', 0.6), ('icia', 0.47), ('til', 0.47), ('NER', 0.45), ('bold', 0.45), ('改', 0.44), ('monarch', 0.38), ('rapper', 0.33)]","[('backend', 1.96), ('George', 1.75), ('ison', 1.41), ('ulle', 1.07), ('ds', 0.73), ('por', 0.69), ('ob', 0.65), ('lon', 0.63), ('uda', 0.58), ('routine', 0.54)]","[('\u200d', 2.09), ('dex', 1.17), ('DEX', 0.88), ('Mort', 0.76), ('Indian', 0.76), ('raph', 0.64), ('veg', 0.54), ('enberg', 0.48), ('Mun', 0.48), ('src', 0.41)]","[('ds', 2.44), ('ulle', 1.44), ('backend', 1.16), ('bir', 0.74), ('uda', 0.72), ('George', 0.61), ('MY', 0.49), ('ison', 0.48), ('nam', 0.41), ('capital', 0.4)]"
layer15,"[('onderwerp', 1.62), ('ответ', 1.12), ('ibile', 1.01), ('einmal', 0.98), ('Car', 0.59), ('öd', 0.42), ('Jung', 0.41), ('beh', 0.4), ('уче', 0.39), ('Ziel', 0.38)]","[('backend', 2.41), ('George', 0.95), ('ds', 0.92), ('ulle', 0.73), ('rav', 0.64), ('hn', 0.49), ('capital', 0.49), ('aire', 0.39), ('inton', 0.34), ('My', 0.3)]","[('stract', 1.13), ('dia', 1.02), ('Dal', 0.85), ('Stra', 0.64), ('diss', 0.56), ('Compos', 0.52), ('alc', 0.43), ('erg', 0.42), ('bit', 0.4), ('lat', 0.33)]","[('ds', 1.33), ('backend', 1.07), ('hn', 0.59), ('otte', 0.55), ('么', 0.47), ('uda', 0.44), ('rav', 0.4), ('realized', 0.33), ('concentr', 0.32), ('diam', 0.27)]"
layer16,"[('feld', 2.72), ('ouv', 0.73), ('π', 0.61), ('ategy', 0.59), ('aient', 0.53), ('nos', 0.52), ('irc', 0.51), ('ël', 0.47), ('unci', 0.46), ('yg', 0.42)]","[('hn', 2.17), ('么', 0.97), ('backend', 0.59), ('ds', 0.55), ('inton', 0.46), ('mana', 0.43), ('otte', 0.38), ('Herzog', 0.37), ('desarroll', 0.37), ('rav', 0.35)]","[('uki', 3.48), ('ento', 1.37), ('gre', 0.67), ('ieg', 0.57), ('Rat', 0.54), ('ئ', 0.45), ('icles', 0.44), ('AAAA', 0.39), ('uesto', 0.39), ('kar', 0.38)]","[('hyp', 1.59), ('hn', 1.13), ('coff', 0.86), ('ds', 0.71), ('landa', 0.68), ('\\', 0.63), ('concentr', 0.54), ('li', 0.52), ('Herzog', 0.46), ('mana', 0.41)]"
layer17,"[('pse', 1.2), ('Pla', 1.03), ('={{', 1.03), ('//', 0.83), ('touch', 0.46), ('lyph', 0.36), ('properly', 0.3), ('bmatrix', 0.27), ('не', 0.26), ('дро', 0.25)]","[('hyp', 1.88), ('ds', 0.79), ('Herzog', 0.61), ('uda', 0.51), ('otte', 0.49), ('landa', 0.47), ('hn', 0.45), ('inton', 0.43), ('ategor', 0.4), ('\\', 0.38)]","[('tin', 5.08), ('esso', 1.02), ('зма', 0.75), ('uz', 0.63), ('marg', 0.63), ('license', 0.53), ('Authentication', 0.49), ('Schrift', 0.47), ('urd', 0.47), ('rc', 0.45)]","[('ds', 1.33), ('ieg', 1.23), ('uda', 1.1), ('landa', 0.72), ('inton', 0.7), ('INE', 0.5), ('hyp', 0.41), ('hn', 0.39), ('éta', 0.36), ('noc', 0.33)]"
layer18,"[('chen', 22.46), ('ilia', 0.82), ('blatt', 0.53), ('maj', 0.5), ('oma', 0.49), ('�', 0.43), ('patr', 0.32), ('hus', 0.3), ('idea', 0.29), ('作', 0.29)]","[('landa', 3.03), ('coff', 0.58), ('ieg', 0.57), ('inton', 0.55), ('éta', 0.54), ('noc', 0.52), ('li', 0.5), ('uda', 0.47), ('land', 0.37), ('aze', 0.33)]","[('ring', 1.37), ('lets', 0.7), ('ersch', 0.64), ('let', 0.6), ('er', 0.51), ('famil', 0.44), ('C', 0.43), ('ae', 0.41), ('hos', 0.37), ('Resource', 0.33)]","[('landa', 1.26), ('land', 0.95), ('ieg', 0.77), ('nings', 0.56), ('inton', 0.49), ('.', 0.46), ('champion', 0.46), ('mana', 0.42), ('li', 0.4), ('capital', 0.39)]"
layer19,"[('omial', 0.76), ('oir', 0.67), ('emberg', 0.64), ('Bau', 0.53), ('ovis', 0.51), ('ensional', 0.42), ('German', 0.42), ('WM', 0.4), ('zos', 0.38), ('sterd', 0.37)]","[('landa', 2.35), ('ieg', 1.18), ('champion', 0.76), ('nings', 0.75), ('land', 0.74), ('capital', 0.58), ('jet', 0.55), ('AC', 0.49), ('aze', 0.46), ('eren', 0.46)]","[('ilo', 2.57), ('pairs', 1.29), ('medium', 1.0), ('lea', 0.75), ('acc', 0.74), ('rgba', 0.52), ('zyż', 0.49), ('ヨ', 0.46), ('moon', 0.45), ('vac', 0.36)]","[('ieg', 1.71), ('landa', 1.5), ('jet', 0.8), ('nings', 0.57), ('aze', 0.54), ('land', 0.53), ('capital', 0.51), ('drum', 0.5), ('diam', 0.48), ('hyp', 0.48)]"
layer20,"[('D', 93.63), ('correct', 1.83), ('D', 1.45), ('Correct', 0.37), ('correct', 0.21), ('Д', 0.11), ('Capital', 0.08), ('DR', 0.07), ('capital', 0.07), ('Д', 0.06)]","[('capital', 3.06), ('Capital', 2.01), ('D', 1.72), ('ieg', 1.65), ('diam', 0.84), ('drum', 0.71), ('landa', 0.64), ('aze', 0.49), ('maven', 0.45), ('éta', 0.42)]","[('Gazette', 1.82), ('aje', 1.64), ('cing', 0.77), ('aye', 0.75), ('stag', 0.64), ('inkel', 0.53), ('információ', 0.48), ('uil', 0.44), ('још', 0.31), ('tol', 0.31)]","[('capital', 1.28), ('D', 1.09), ('landa', 0.88), ('Capital', 0.79), ('aze', 0.64), ('а', 0.53), ('ieg', 0.49), ('maven', 0.39), ('emb', 0.35), ('diam', 0.35)]"
layer21,"[('D', 49.01), ('ber', 7.04), ('ber', 6.33), ('Ber', 5.61), ('Ber', 4.43), ('berga', 1.35), ('Cong', 1.21), ('Berl', 1.11), ('BER', 0.94), ('Theater', 0.54)]","[('D', 15.9), ('Capital', 1.24), ('capital', 0.92), ('ieg', 0.83), ('Cic', 0.5), ('recens', 0.41), ('C', 0.38), ('maven', 0.36), ('aze', 0.35), ('landa', 0.33)]","[('uen', 1.41), ('anterie', 1.12), ('pid', 1.0), ('phia', 0.93), ('emor', 0.66), ('Verlag', 0.53), ('ren', 0.53), ('ver', 0.53), ('št', 0.51), ('isser', 0.44)]","[('D', 14.26), ('Capital', 0.9), ('Cic', 0.75), ('DI', 0.69), ('capital', 0.66), ('C', 0.63), ('THE', 0.57), ('recens', 0.38), ('ieg', 0.34), ('D', 0.33)]"
layer22,"[('A', 13.93), ('III', 2.33), ('Cs', 1.99), ('##', 1.96), ('//', 1.74), ('penas', 1.52), ('//', 1.44), ('terminal', 0.86), ('#,', 0.75), ('heimer', 0.7)]","[('D', 16.39), ('Capital', 0.85), ('C', 0.82), ('capital', 0.74), ('A', 0.62), ('Cic', 0.55), ('ą', 0.49), ('D', 0.48), ('recens', 0.47), ('THE', 0.46)]","[('chan', 1.04), ('oir', 0.92), ('ór', 0.91), ('omic', 0.56), ('�', 0.5), ('池', 0.49), ('fla', 0.47), ('Academ', 0.43), ('öffentlich', 0.42), ('ismiss', 0.41)]","[('D', 10.57), ('capital', 0.89), ('ą', 0.85), ('Capital', 0.75), ('THE', 0.72), ('C', 0.69), ('D', 0.54), ('recens', 0.54), ('Cic', 0.54), ('THE', 0.48)]"
layer23,"[('Bien', 1.11), ('chter', 0.76), ('={{', 0.74), ('édia', 0.61), ('night', 0.48), ('Buen', 0.36), ('asto', 0.35), ('Night', 0.33), ('phantom', 0.33), ('parallel', 0.33)]","[('D', 5.28), ('recens', 0.9), ('ą', 0.68), ('Cic', 0.67), ('THE', 0.56), ('DI', 0.49), ('THE', 0.49), ('capital', 0.42), ('щее', 0.36), ('Capital', 0.35)]","[('qua', 1.35), ('landa', 0.9), ('št', 0.56), ('�', 0.48), ('yter', 0.47), ('̣', 0.41), ('зо', 0.4), ('ступ', 0.38), ('ViewById', 0.35), ('cad', 0.33)]","[('D', 2.22), ('recens', 1.25), ('Capital', 0.84), ('capital', 0.83), ('landa', 0.66), ('DI', 0.49), ('Cic', 0.45), ('maven', 0.44), ('ą', 0.36), ('Ā', 0.35)]"
layer24,"[('Ber', 38.02), ('ber', 28.39), ('Ber', 27.8), ('Berlin', 2.34), ('Бер', 1.25), ('Berliner', 0.38), ('BER', 0.27), ('Berl', 0.15), ('ber', 0.15), ('berry', 0.03)]","[('D', 2.95), ('recens', 1.29), ('Berl', 1.18), ('capital', 0.47), ('Capital', 0.38), ('Ā', 0.37), ('idia', 0.33), ('landa', 0.33), ('maven', 0.32), ('Berlin', 0.31)]","[('C', 10.68), ('A', 7.09), ('Pla', 2.33), ('X', 0.73), ('ther', 0.65), ('Pass', 0.49), ('Y', 0.48), ('inu', 0.45), ('ith', 0.43), ('či', 0.41)]","[('D', 6.27), ('C', 1.27), ('A', 1.23), ('Berl', 1.14), ('recens', 0.89), ('C', 0.62), ('D', 0.6), ('landa', 0.49), ('capital', 0.48), ('Berlin', 0.32)]"
layer25,"[('//', 99.7), ('//', 0.3), ('///', 0.0), ('////', 0.0), ('///', 0.0), ('://', 0.0), ('/', 0.0), ('\\\\', 0.0), ('upon', 0.0), ('////////', 0.0)]","[('D', 3.91), ('//', 3.76), ('//', 2.35), ('Berl', 1.25), ('C', 1.11), ('A', 0.87), ('recens', 0.67), ('C', 0.6), ('landa', 0.59), ('D', 0.58)]","[('B', 20.51), ('B', 3.53), ('hoff', 1.11), ('G', 0.98), ('C', 0.91), ('A', 0.67), ('Ces', 0.53), ('ami', 0.46), ('\n', 0.45), ('', 0.45)]","[('D', 6.19), ('C', 4.88), ('//', 4.51), ('A', 3.57), ('//', 2.16), ('C', 1.4), ('Berl', 0.81), ('{', 0.69), ('capital', 0.58), ('B', 0.49)]"
layer26,"[('Ber', 52.83), ('Ber', 22.88), ('ber', 10.24), ('Berlin', 7.72), ('BER', 1.37), ('Бер', 1.08), ('Berl', 0.29), ('D', 0.19), ('ber', 0.19), ('бер', 0.09)]","[('D', 16.41), ('A', 6.03), ('C', 3.51), ('Berl', 3.21), ('Berlin', 2.95), ('Ber', 2.03), ('Ber', 1.5), ('//', 1.46), ('ber', 1.34), ('//', 0.76)]","[('MA', 1.92), ('ners', 1.66), ('ST', 0.84), ('dar', 0.82), ('cies', 0.73), ('MI', 0.72), ('BE', 0.72), ('pez', 0.72), ('ME', 0.63), ('理', 0.55)]","[('D', 22.55), ('C', 4.62), ('A', 3.57), ('Berlin', 2.33), ('Ber', 1.75), ('//', 1.73), ('Berl', 1.71), ('Ber', 1.3), ('ber', 0.78), ('C', 0.69)]"
layer27,"[('the', 4.44), ('turns', 2.28), ('based', 1.57), ('\n', 1.42), ('the', 1.38), ('THE', 0.92), ('enjo', 0.53), ('The', 0.48), ('following', 0.4), ('</s>', 0.35)]","[('D', 18.36), ('A', 4.67), ('C', 4.49), ('//', 1.81), ('Berlin', 1.39), ('Ber', 0.84), ('//', 0.82), ('Berl', 0.78), ('Ber', 0.72), ('B', 0.71)]","[('e', 5.29), ('A', 1.74), ('C', 1.58), ('Loren', 0.53), ('sale', 0.48), ('API', 0.45), ('D', 0.44), ('G', 0.41), ('fn', 0.35), ('M', 0.34)]","[('D', 22.12), ('C', 3.86), ('A', 2.4), ('A', 2.19), ('C', 1.95), ('Berlin', 1.86), ('//', 1.58), ('Ber', 1.18), ('D', 1.04), ('Ber', 0.97)]"
layer28,"[('D', 75.7), ('C', 22.78), ('A', 1.08), ('B', 0.38), ('C', 0.06), ('A', 0.0), ('D', 0.0), ('B', 0.0), ('Д', 0.0), ('Ber', 0.0)]","[('D', 80.5), ('C', 11.82), ('A', 3.37), ('C', 1.26), ('B', 0.87), ('A', 0.66), ('D', 0.32), ('B', 0.23), ('Ber', 0.18), ('Berlin', 0.08)]","[('AS', 17.47), ('AS', 10.1), ('>', 4.3), ('D', 4.11), ('//', 3.9), ('A', 3.74), ('b', 2.41), ('S', 1.14), ('B', 0.75), ('?', 0.46)]","[('D', 57.84), ('C', 15.31), ('A', 12.42), ('A', 4.87), ('C', 3.51), ('D', 2.45), ('B', 1.19), ('B', 1.01), ('Ber', 0.21), ('Ber', 0.1)]"
layer29,"[('\n', 99.99), ('</s>', 0.01), ('�', 0.0), ('️', 0.0), ('scheidung', 0.0), ('berger', 0.0), ('&#', 0.0), ('ató', 0.0), ('ст', 0.0), ('�', 0.0)]","[('D', 47.46), ('C', 17.97), ('A', 12.66), ('A', 6.8), ('C', 5.47), ('D', 2.52), ('B', 1.53), ('B', 1.36), ('\n', 1.28), ('Ber', 0.35)]","[('C', 3.36), ('AK', 1.89), ('com', 1.84), ('A', 1.8), ('in', 1.7), ('over', 1.52), ('affen', 1.16), ('gr', 1.02), ('or', 1.01), ('h', 0.98)]","[('A', 31.26), ('C', 30.07), ('D', 9.13), ('D', 7.38), ('C', 6.85), ('A', 6.2), ('B', 5.63), ('\n', 0.53), ('B', 0.33), ('ber', 0.17)]"
layer30,"[('ços', 1.33), ('giore', 0.63), ('bine', 0.62), ('бен', 0.62), ('chten', 0.57), ('________________', 0.41), ('ló', 0.4), ('lá', 0.39), ('`$', 0.38), ('_', 0.38)]","[('C', 38.11), ('A', 26.27), ('C', 9.29), ('D', 7.84), ('D', 5.48), ('A', 5.09), ('B', 4.46), ('\n', 0.55), ('B', 0.41), ('ber', 0.21)]","[('\n', 90.8), ('', 3.24), (',', 2.14), ('.', 1.52), ('(', 0.27), ('C', 0.19), ('1', 0.16), (':', 0.14), ('2', 0.14), ('0', 0.12)]","[('C', 56.41), ('A', 19.97), ('D', 7.92), ('\n', 6.57), ('B', 4.6), ('C', 1.76), ('D', 1.46), ('A', 0.85), ('B', 0.19), ('//', 0.02)]"
layer31,"[('', 97.12), ('!', 0.04), (' ', 0.03), ('\xa0', 0.02), ('\t', 0.02), (',', 0.02), ('answer', 0.01), ('concaten', 0.01), ('BE', 0.01), ('correspond', 0.01)]","[('C', 57.09), ('A', 16.67), ('\n', 8.15), ('D', 6.9), ('B', 6.1), ('C', 2.11), ('D', 1.47), ('A', 0.78), ('B', 0.29), ('', 0.08)]","[('beskre', 5.44), ('WHERE', 2.65), ('BER', 2.17), ('CLARE', 1.7), ('archivi', 1.17), ('ципа', 0.99), ('CREATE', 0.93), ('---+', 0.85), ('DAT', 0.82), ('{', 0.73)]","[('C', 50.47), ('D', 22.8), ('A', 14.68), ('\n', 6.6), ('B', 4.1), ('BER', 0.62), ('{', 0.36), ('Ber', 0.11), ('//', 0.04), ('```', 0.02)]"
