layer9,"[('▁Ch', 1.22), ('▁Isa', 0.98), ('ô', 0.77), ('▁answer', 0.5), ('▁App', 0.5), ('▁To', 0.49), ('▁sim', 0.47), ('▁Gran', 0.43), ('jsp', 0.42), ('▁Ge', 0.39)]","[('1', 61.44), ('2', 17.87), ('3', 6.36), ('4', 2.92), ('0', 1.68), ('9', 1.37), ('7', 1.17), ('5', 1.04), ('6', 0.86), ('A', 0.62)]","[('sche', 1.94), ('sin', 1.52), ('oux', 1.36), ('ami', 1.03), ('itos', 0.76), ('wards', 0.69), ('nel', 0.61), ('py', 0.59), ('yi', 0.56), ('гани', 0.45)]","[('1', 52.82), ('2', 15.12), ('3', 9.51), ('0', 2.67), ('4', 2.42), ('A', 2.17), ('5', 1.58), ('9', 1.29), ('8', 1.11), ('7', 1.03)]"
layer10,"[('▁Ge', 2.33), ('▁indeed', 1.0), ('umar', 0.83), ('inas', 0.66), ('▁middle', 0.53), ('▁third', 0.49), ('▁iz', 0.43), ('▁Govern', 0.42), ('▁Mel', 0.41), ('▁above', 0.4)]","[('1', 44.88), ('2', 16.68), ('3', 13.8), ('0', 2.95), ('4', 2.76), ('9', 0.87), ('5', 0.84), ('7', 0.8), ('▁', 0.66), ('6', 0.64)]","[('Connect', 0.58), ('TAC', 0.38), ('▁aug', 0.38), ('▁Sir', 0.37), ('én', 0.33), ('▁cust', 0.3), ('▁Britain', 0.3), ('▁pes', 0.29), ('ё', 0.27), ('▁nature', 0.26)]","[('1', 46.4), ('3', 19.42), ('2', 17.99), ('4', 2.26), ('0', 1.99), ('▁', 0.78), ('5', 0.68), ('6', 0.49), ('8', 0.4), ('en', 0.28)]"
layer11,"[('uge', 3.52), ('phia', 0.72), ('▁alphabet', 0.49), ('ius', 0.39), ('uren', 0.37), ('▁Mich', 0.35), ('angle', 0.33), ('ke', 0.33), ('tes', 0.28), ('aban', 0.26)]","[('1', 45.08), ('3', 19.25), ('2', 17.51), ('0', 2.36), ('4', 2.06), ('5', 0.82), ('▁', 0.55), ('8', 0.48), ('6', 0.47), ('A', 0.3)]","[('iente', 3.41), ('uth', 1.33), ('elsk', 0.84), ('puis', 0.75), ('ven', 0.65), ('▁Oficina', 0.62), ('undle', 0.56), ('voor', 0.54), ('▁indu', 0.49), ('▁const', 0.48)]","[('1', 40.0), ('2', 26.64), ('3', 14.2), ('0', 3.94), ('4', 1.96), ('▁', 0.73), ('5', 0.6), ('6', 0.45), ('8', 0.43), ('a', 0.39)]"
layer12,"[('iemann', 1.55), ('iman', 1.16), ('alion', 0.94), ('▁three', 0.83), ('yal', 0.53), ('мо', 0.5), ('ahn', 0.5), ('uent', 0.41), ('emark', 0.38), ('▁grouping', 0.38)]","[('1', 40.36), ('3', 20.33), ('2', 17.61), ('0', 6.22), ('4', 2.89), ('5', 0.9), ('6', 0.41), ('8', 0.37), ('▁', 0.36), ('7', 0.35)]","[('olt', 1.57), ('rain', 0.79), ('sero', 0.66), ('SB', 0.6), ('口', 0.59), ('▁Rain', 0.58), ('▁rain', 0.51), ('ust', 0.46), ('▁trou', 0.38), ('▁corso', 0.35)]","[('1', 25.73), ('3', 20.07), ('2', 18.0), ('0', 3.45), ('4', 2.76), ('b', 2.1), ('A', 1.81), ('B', 1.48), ('c', 1.2), ('▁', 1.01)]"
layer13,"[('line', 1.49), ('▁mér', 0.76), ('ner', 0.73), ('ico', 0.64), ('▁skill', 0.63), ('▁rela', 0.49), ('▁strugg', 0.48), ('▁correctly', 0.48), ('▁log', 0.47), ('▁spot', 0.47)]","[('1', 24.86), ('2', 14.06), ('3', 9.23), ('▁', 3.78), ('0', 2.82), ('b', 2.15), ('B', 1.79), ('A', 1.67), ('4', 1.48), ('▁(', 1.18)]","[('▁davon', 2.62), ('li', 1.05), ('št', 0.65), ('ISTS', 0.62), ('PF', 0.51), ('ITY', 0.5), ('ury', 0.39), ('瀬', 0.37), ('▁mét', 0.35), ('nbsp', 0.35)]","[('1', 40.07), ('2', 16.86), ('3', 10.78), ('0', 2.56), ('4', 2.17), ('▁', 2.03), ('B', 2.0), ('b', 1.75), ('A', 1.08), ('c', 1.03)]"
layer14,"[('agnet', 2.11), ('ille', 0.79), ('▁Frederick', 0.68), ('que', 0.63), ('ouse', 0.53), ('▁ign', 0.5), ('cont', 0.43), ('sub', 0.39), ('antics', 0.39), ('jest', 0.38)]","[('1', 31.78), ('2', 8.86), ('3', 7.48), ('B', 6.45), ('c', 3.07), ('b', 2.96), ('e', 2.67), ('0', 2.52), ('4', 1.83), ('A', 1.66)]","[('▁if', 2.46), ('leid', 0.97), ('▁person', 0.96), ('irm', 0.88), ('▁fac', 0.66), ('▁Person', 0.65), ('erson', 0.6), ('ély', 0.48), ('外', 0.46), ('zan', 0.44)]","[('1', 39.26), ('2', 11.26), ('3', 6.66), ('B', 6.18), ('4', 5.08), ('b', 2.0), ('A', 1.74), ('0', 1.34), ('c', 1.06), ('▁', 0.89)]"
layer15,"[('psum', 2.51), ('scheid', 1.77), ('ответ', 0.6), ('osos', 0.4), ('▁externos', 0.4), ('isseur', 0.37), ('▁Sus', 0.36), ('ño', 0.34), ('ulse', 0.33), ('pport', 0.32)]","[('1', 29.37), ('2', 10.2), ('B', 5.69), ('3', 4.55), ('4', 3.95), ('▁H', 3.78), ('b', 2.68), ('0', 2.52), ('▁_', 2.06), ('A', 1.83)]","[('▁Dre', 0.79), ('▁Dal', 0.75), ('othe', 0.7), ('wod', 0.63), ('▁Span', 0.58), ('▁dal', 0.53), ('▁shell', 0.41), ('▁Gew', 0.39), ('мов', 0.36), ('udi', 0.35)]","[('1', 18.66), ('B', 12.65), ('2', 9.37), ('▁H', 5.6), ('4', 4.97), ('3', 4.19), ('▁_', 4.03), ('b', 3.99), ('R', 2.15), ('0', 1.75)]"
layer16,"[('▁D', 3.93), ('A', 1.2), ('▁A', 1.06), ('B', 0.79), ('▁Social', 0.71), ('D', 0.64), ('feld', 0.57), ('▁\\', 0.5), ('▁drum', 0.47), ('▁#', 0.47)]","[('B', 27.37), ('1', 17.36), ('▁H', 6.41), ('2', 4.82), ('A', 3.92), ('▁B', 2.89), ('3', 2.39), ('<0x0A>', 2.36), ('4', 1.97), ('▁C', 1.82)]","[('▁ex', 1.11), ('стви', 0.88), ('ум', 0.48), ('ango', 0.45), ('uki', 0.43), ('beck', 0.41), ('GER', 0.37), ('ederb', 0.33), ('quelle', 0.33), ('otal', 0.32)]","[('1', 23.23), ('B', 14.59), ('▁A', 5.64), ('2', 5.5), ('▁H', 3.71), ('3', 3.7), ('▁D', 3.44), ('▁_', 3.12), ('A', 2.74), ('4', 2.41)]"
layer17,"[('D', 24.57), ('▁D', 18.21), ('unker', 0.74), ('дей', 0.7), ('า', 0.54), ('▁Д', 0.47), ('▁fün', 0.37), ('DA', 0.36), ('TD', 0.28), ('d', 0.25)]","[('▁D', 28.5), ('D', 14.86), ('B', 13.24), ('1', 7.3), ('4', 5.06), ('A', 2.99), ('▁C', 2.04), ('▁A', 1.91), ('2', 1.69), ('3', 1.69)]","[('mut', 1.08), ('❯', 1.01), ('▁Lan', 1.0), ('bindung', 0.91), ('anten', 0.85), ('▁Einzeln', 0.7), ('ignon', 0.58), ('ends', 0.57), ('<0x8A>', 0.55), ('AME', 0.52)]","[('▁D', 27.67), ('D', 11.31), ('B', 9.97), ('1', 6.9), ('4', 5.44), ('A', 3.13), ('▁A', 2.77), ('2', 2.64), ('3', 2.37), ('▁C', 2.06)]"
layer18,"[('▁#', 19.01), ('▁alphabet', 17.22), ('▁letter', 5.27), ('▁A', 5.08), ('▁B', 4.55), ('▁none', 1.5), ('A', 1.47), ('Option', 1.24), ('▁None', 1.1), ('▁letters', 0.84)]","[('▁D', 22.22), ('B', 19.63), ('▁A', 12.32), ('D', 9.66), ('A', 7.92), ('▁B', 4.32), ('C', 4.04), ('▁C', 2.68), ('b', 1.38), ('1', 1.28)]","[('bis', 1.5), ('▁Alc', 1.48), ('äler', 1.45), ('iből', 1.13), ('ikz', 1.08), ('▁ring', 0.65), ('zony', 0.62), ('▁aff', 0.54), ('ést', 0.39), ('▁connexes', 0.39)]","[('▁D', 22.36), ('B', 18.11), ('▁A', 16.7), ('A', 7.06), ('▁B', 4.86), ('C', 3.85), ('D', 3.49), ('▁C', 3.24), ('b', 2.41), ('c', 1.23)]"
layer19,"[('A', 17.75), ('▁D', 16.26), ('D', 7.72), ('▁A', 4.16), ('7', 1.21), ('3', 1.14), ('▁G', 1.0), ('G', 0.84), ('{', 0.78), ('P', 0.76)]","[('▁D', 40.39), ('▁A', 21.75), ('A', 12.07), ('B', 6.15), ('D', 5.65), ('C', 2.44), ('▁C', 1.88), ('▁B', 1.27), ('b', 1.14), ('2', 0.62)]","[('би', 1.78), ('iformes', 0.79), ('cca', 0.72), ('orsz', 0.68), ('▁државе', 0.65), ('͡', 0.6), ('<0xAF>', 0.53), ('<0xBD>', 0.52), ('▁august', 0.51), ('▁loops', 0.51)]","[('▁A', 19.84), ('▁D', 19.08), ('A', 16.4), ('B', 12.38), ('D', 6.78), ('b', 6.1), ('C', 3.67), ('2', 1.54), ('4', 1.54), ('c', 1.41)]"
layer20,"[('▁D', 99.69), ('D', 0.31), ('▁Д', 0.0), ('▁d', 0.0), ('Д', 0.0), ('DE', 0.0), ('▁DE', 0.0), ('DS', 0.0), ('d', 0.0), ('DP', 0.0)]","[('▁D', 88.73), ('D', 10.72), ('▁A', 0.14), ('A', 0.12), ('B', 0.08), ('d', 0.05), ('C', 0.03), ('b', 0.03), ('▁B', 0.01), ('▁C', 0.01)]","[('▁b', 2.22), ('▁cool', 1.19), ('▁spot', 0.81), ('▁succ', 0.62), ('▁followed', 0.54), ('uso', 0.53), ('sub', 0.52), ('▁da', 0.41), ('▁g', 0.4), ('▁Begr', 0.4)]","[('▁D', 87.95), ('D', 11.28), ('A', 0.16), ('▁A', 0.12), ('b', 0.12), ('B', 0.1), ('d', 0.08), ('C', 0.04), ('▁B', 0.02), ('▁d', 0.01)]"
layer21,"[('▁C', 94.96), ('▁D', 5.03), ('D', 0.0), ('C', 0.0), ('▁Ц', 0.0), ('▁B', 0.0), ('▁Cap', 0.0), ('▁Д', 0.0), ('CD', 0.0), ('▁Deep', 0.0)]","[('▁D', 91.78), ('D', 7.94), ('▁C', 0.06), ('C', 0.06), ('b', 0.04), ('B', 0.03), ('A', 0.03), ('▁A', 0.01), ('d', 0.01), ('▁B', 0.01)]","[('▁A', 96.74), ('1', 0.26), ('A', 0.25), ('2', 0.13), ('▁of', 0.05), ('▁c', 0.05), ('▁А', 0.03), ('▁ABC', 0.03), ('3', 0.03), ('▁AB', 0.03)]","[('▁D', 92.3), ('D', 6.58), ('▁A', 0.41), ('A', 0.24), ('▁C', 0.2), ('C', 0.08), ('B', 0.05), ('b', 0.04), ('▁B', 0.02), ('2', 0.02)]"
layer22,"[('▁A', 59.04), ('▁B', 1.15), ('iformes', 0.47), ('A', 0.46), ('atol', 0.38), ('▁externes', 0.25), ('良', 0.22), ('abord', 0.2), ('udni', 0.17), ('ival', 0.16)]","[('▁D', 83.82), ('D', 9.29), ('▁A', 4.25), ('A', 1.3), ('▁C', 0.48), ('C', 0.32), ('B', 0.21), ('▁B', 0.13), ('b', 0.08), ('d', 0.01)]","[('decl', 2.78), ('▁delayed', 1.1), ('Vor', 0.91), ('▁decl', 0.79), ('manifest', 0.63), ('▁sig', 0.48), ('shot', 0.47), ('才', 0.41), ('▁Bef', 0.37), ('▁cargo', 0.36)]","[('▁D', 80.18), ('D', 16.51), ('▁C', 0.96), ('▁A', 0.73), ('C', 0.65), ('A', 0.43), ('B', 0.2), ('▁B', 0.11), ('b', 0.06), ('d', 0.02)]"
layer23,"[('{', 0.72), ('{{', 0.43), ('iger', 0.41), ('▁{', 0.37), ('社', 0.24), ('гер', 0.21), ('▁Night', 0.2), ('▁Wein', 0.2), ('EG', 0.19), ('nahm', 0.19)]","[('▁D', 61.83), ('D', 28.98), ('C', 2.38), ('A', 1.84), ('▁A', 1.73), ('▁C', 1.22), ('B', 0.62), ('b', 0.27), ('▁B', 0.2), ('d', 0.09)]","[('adi', 4.6), ('米', 1.66), ('este', 0.81), ('зо', 0.75), ('yo', 0.75), ('onnen', 0.72), ('uno', 0.57), ('ors', 0.48), ('▁fir', 0.43), ('assen', 0.39)]","[('D', 46.86), ('▁D', 33.87), ('A', 5.5), ('C', 4.27), ('▁A', 2.71), ('B', 2.2), ('▁C', 1.52), ('b', 0.71), ('▁B', 0.37), ('d', 0.17)]"
layer24,"[('▁A', 1.11), ('A', 0.67), ('it', 0.32), ('{', 0.31), ('D', 0.27), ('at', 0.26), ('ays', 0.23), ('IS', 0.22), ('ares', 0.19), ('O', 0.18)]","[('D', 43.28), ('▁D', 34.89), ('A', 6.91), ('▁A', 5.08), ('C', 3.47), ('B', 2.2), ('▁C', 1.47), ('▁B', 0.44), ('b', 0.27), ('d', 0.13)]","[('▁A', 94.83), ('A', 3.15), ('bul', 0.12), ('▁А', 0.1), ('ade', 0.03), ('ent', 0.02), ('▁De', 0.02), ('▁Y', 0.02), ('▁Veg', 0.02), ('▁Ent', 0.02)]","[('D', 24.05), ('▁A', 23.82), ('▁D', 23.5), ('A', 20.78), ('C', 2.51), ('B', 1.52), ('▁C', 1.47), ('b', 0.31), ('▁B', 0.29), ('a', 0.12)]"
layer25,"[('▁//', 99.54), ('▁{', 0.36), ('//', 0.1), ('{', 0.0), ('▁///', 0.0), ('▁\\\\', 0.0), ('////', 0.0), ('}{', 0.0), ('///', 0.0), ('▁/', 0.0)]","[('D', 33.13), ('▁D', 22.77), ('▁A', 16.7), ('A', 14.81), ('B', 2.64), ('C', 2.32), ('▁C', 1.19), ('▁B', 0.48), ('<0x0A>', 0.44), ('b', 0.38)]","[('▁B', 3.65), ('aco', 1.49), ('1', 0.79), ('gele', 0.45), ('8', 0.44), ('7', 0.43), ('6', 0.38), ('2', 0.37), ('▁C', 0.36), ('▁par', 0.33)]","[('▁A', 39.03), ('A', 24.97), ('▁D', 10.47), ('D', 7.83), ('B', 4.78), ('▁C', 2.76), ('C', 2.57), ('▁B', 1.59), ('1', 0.92), ('2', 0.46)]"
layer26,"[('▁D', 78.91), ('▁A', 2.05), (""▁'"", 1.58), ('▁""', 0.95), ('▁B', 0.22), ('▁C', 0.2), ('D', 0.14), ('A', 0.13), (""'"", 0.12), ('▁E', 0.07)]","[('▁A', 43.47), ('▁D', 27.55), ('A', 14.17), ('D', 4.47), ('▁C', 2.96), ('B', 1.7), ('▁B', 1.26), ('C', 1.25), ('<0x0A>', 0.24), ('1', 0.24)]","[('ex', 1.55), ('cide', 1.43), ('Sc', 0.84), ('G', 0.8), ('▁civil', 0.76), ('A', 0.73), ('S', 0.71), ('hed', 0.64), ('im', 0.55), ('scr', 0.46)]","[('▁A', 39.12), ('▁D', 24.96), ('A', 20.77), ('D', 5.83), ('▁C', 2.6), ('B', 2.01), ('C', 1.47), ('▁B', 0.93), ('1', 0.19), ('<0x0A>', 0.18)]"
layer27,"[(':\u2009', 1.62), ('▁turns', 0.95), ('Receive', 0.52), ('▁`{', 0.48), ('▁Give', 0.43), ('▁enjo', 0.4), ('зво', 0.31), ('▁gave', 0.29), ('▁turno', 0.29), ('seed', 0.26)]","[('▁A', 33.8), ('A', 24.07), ('▁D', 15.99), ('D', 8.95), ('B', 3.24), ('C', 2.49), ('▁C', 2.32), ('▁B', 0.75), ('1', 0.4), ('<0x0A>', 0.39)]","[('▁(', 8.39), ('▁B', 1.35), ('▁b', 1.19), ('▁v', 1.13), ('▁voc', 0.83), ('▁none', 0.73), ('▁with', 0.71), (',', 0.61), ('▁n', 0.57), ('vt', 0.5)]","[('A', 29.65), ('▁D', 22.71), ('▁A', 14.88), ('D', 12.44), ('C', 3.99), ('B', 3.9), ('▁C', 3.34), ('▁B', 1.4), ('<0x0A>', 0.6), ('1', 0.41)]"
layer28,"[('▁D', 99.49), ('▁A', 0.45), ('▁B', 0.03), ('▁{', 0.02), ('▁Д', 0.0), ('▁C', 0.0), ('D', 0.0), ('▁А', 0.0), ('▁({', 0.0), ('A', 0.0)]","[('▁D', 60.29), ('▁A', 20.79), ('A', 7.39), ('D', 5.25), ('▁C', 1.79), ('▁B', 1.52), ('B', 0.91), ('C', 0.59), ('▁{', 0.34), ('<0x0A>', 0.08)]","[('“', 5.83), ('A', 3.5), ('–', 3.46), ('×', 2.47), ('…', 1.99), ('//', 1.16), ('2', 1.16), ('The', 1.1), ('▁Ain', 0.77), ('B', 0.73)]","[('A', 36.9), ('▁A', 27.73), ('▁D', 13.89), ('D', 12.77), ('B', 3.39), ('C', 1.29), ('▁B', 1.17), ('▁C', 1.09), ('▁{', 0.23), ('<0x0A>', 0.13)]"
layer29,"[('<0xF0>', 52.61), ('<0xE2>', 9.55), ('✔', 6.82), ('<0xEF>', 4.44), ('✅', 1.03), ('<0xEE>', 0.35), ('<0x0A>', 0.29), ('☆', 0.25), ('\u200d', 0.14), ('<0xE1>', 0.13)]","[('A', 30.85), ('▁A', 25.48), ('▁D', 19.08), ('D', 8.96), ('B', 3.03), ('▁B', 2.41), ('C', 1.54), ('▁C', 1.29), ('<0x0A>', 0.7), ('<0xF0>', 0.37)]","[('1', 23.34), ('8', 5.23), ('6', 4.34), ('7', 3.93), ('5', 2.29), ('-', 1.76), ('th', 1.34), ('D', 1.15), ('0', 1.03), ('x', 0.81)]","[('A', 43.46), ('D', 23.07), ('▁A', 9.51), ('▁D', 7.61), ('B', 5.93), ('C', 2.67), ('▁B', 1.22), ('<0x0A>', 0.5), ('▁{', 0.49), ('▁C', 0.44)]"
layer30,"[('▁{', 1.61), ('\x91', 1.42), ('▁Попис', 0.44), ('mathchar', 0.41), ('▁`{', 0.32), ('▁`', 0.32), ('illaume', 0.3), ('▁concept', 0.27), ('▁Einzelnach', 0.27), ('<0xF3>', 0.26)]","[('A', 37.38), ('D', 15.08), ('▁A', 7.01), ('▁{', 5.11), ('B', 4.68), ('▁D', 4.64), ('C', 2.43), ('▁B', 1.62), ('<0x0A>', 1.01), ('▁C', 0.58)]","[('▁I', 36.4), ('▁from', 12.93), ('<0x0A>', 11.9), (',', 9.69), ('▁(', 7.3), ('<0xE2>', 2.11), ('1', 1.68), ('▁on', 1.42), ('2', 1.37), ('▁-', 1.33)]","[('▁A', 18.07), ('A', 15.28), ('▁D', 15.06), ('D', 9.53), ('<0x0A>', 9.08), ('▁B', 5.65), ('▁{', 4.81), ('B', 2.98), ('▁(', 1.97), ('▁C', 1.89)]"
layer31,"[('!', 1.55), ('▁', 1.35), ('▁(', 1.25), ('(', 0.55), ('adoop', 0.37), (',', 0.29), ('1', 0.21), ('▁Democr', 0.2), ('▁esterni', 0.2), ('/', 0.19)]","[('▁D', 10.95), ('▁A', 10.2), ('A', 9.95), ('▁B', 8.7), ('D', 7.31), ('▁{', 7.18), ('<0xF0>', 4.77), ('▁C', 3.98), ('<0x0A>', 3.47), ('▁(', 2.92)]","[('▁geprüft', 5.71), ('Ḩ', 1.72), ('▁prü', 1.3), ('▁kwiet', 1.07), ('textt', 0.91), ('ungsseite', 0.64), ('▁beskre', 0.6), ('▁stycz', 0.58), ('▁sierp', 0.56), ('▁jú', 0.42)]","[('▁D', 27.32), ('▁{', 22.75), ('▁A', 17.07), ('<0xF0>', 9.31), ('▁B', 9.02), ('<0x0A>', 4.64), ('▁C', 4.42), ('▁(', 2.52), ('<0xE2>', 1.07), ('\u200d', 0.18)]"
Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer0,"[('▁is', 7.45), ('▁to', 5.9), (',', 4.89), ('.', 3.93), ('▁for', 3.91), ('▁the', 3.81), ('▁with', 3.47), ('▁and', 3.0), ('▁on', 2.43), ('▁that', 2.34)]","[(',', 2.92), ('▁is', 2.37), ('.', 2.34), ('▁to', 2.09), ('▁with', 1.52), ('▁for', 1.4), ('▁on', 1.21), ('▁the', 1.18), ('▁more', 1.04), ('▁from', 0.92)]","[(',', 3.75), ('.', 3.52), ('<0x0A>', 2.45), ('▁is', 1.97), (""'"", 1.45), ('▁the', 1.12), ('-', 1.0), ('▁to', 0.99), ('▁on', 0.91), ('’', 0.79)]","[('▁is', 1.92), (',', 1.55), ('▁more', 1.11), ('▁to', 1.1), ('.', 1.05), ('▁on', 0.99), ('▁the', 0.78), ('▁from', 0.74), ('▁for', 0.73), ('▁with', 0.72)]"
