question,choice_A,choice_B,choice_C,choice_D,correct_answer
"When preparing for the MCAT exam,  a student begins studying electrochemical cells. He learns the basic information needed by actively relating it to previous information he has learned about redox reactions. He then builds from that knowledge to learn the advanced concepts needed. The student's process is best characterized as:",Chunking,A network model,Maintenance rehearsal,Elaborative rehearsal,D
MRIs can make,fillings dance,great yogurt,programs for assembly,a mess,A
Which of the following tasks can be best solved using Clustering.,Predicting the amount of rainfall based on various cues,Detecting fraudulent credit card transactions,Training a robot to solve a maze,All of the above,B
_______ working practices refer to working patterns which involve temporal, spatial and task related fluidity.,"Dynamic,Fluid",Flexible,Modern,C
A country that has limited resources would most likely focus on the development of technology that includes,water treatment.,space exploration.,robotic automation.,satellite communications.,A
The most frequent training types are occupation-specific technical training, computer related and managerial/supervision training; Needs Analysis is used for determining if and what kind of training is necessary. Which component out of the following ones is not of the Need Analysis?,"organization analysis,task analysis",person analysis,program design,D
Which simple machine increases the distance over which a load travels and reduces the needed force?,wheel and axle,wedge,pulley,inclined plane,D
What makes the best wiring?,rope,Tungsten,hemp,plastic,B
A student in the process of solving a fabrication problem in the manufacturing laboratory asks the teacher what assembly procedures should be used. The teacher's best response would be to,give an opinion as to the best assembly procedure for the particular problem,suggest two or three possible assembly procedures and have the student select one,place the responsibility completely on the student for making the judgment,use leading questions to help the student review and analyze the relative merits of several assembly procedures,D
Of what is individual freedom to schedule work an example?,Job design,Job enrichment,Job rate,Job planning,B
Using rubber gloves when working on electronics can,ruin the electronics completely,keep electricity moving quickly,keep electricity from moving as quickly,stop the electronics from ever working,C
After a windstorm, Niko called the electric company to report that he had no electricity. His phone call is an example of which of the following elements of a universal systems model?,"designing a process,generating output",giving feedback,setting a goal,C
These are chains of organizations that are concerned with the management of the processes and activities involved in creating and moving products from producers and manufacturers to end-user customers. The organizations involved with any one journey, are collectively termed as a:,"Distribution.,Vendor.",Communication.,Selling.,A
A(n) __________ is a ________, __________ framework which goes beyond linear functions," operations and transactions to produce a certain commodity or product,International supply chain, Static, Disconnected,Global production network, Dynamic, Relational,International supply chain, Dynamic, Disconnected,Global production network", Static, Relational,B
Which would likely need a hot plate?,physics class,chemistry class,english class,math class,B
An example of a simple machine requiring mechanical energy in order to function would be,a light that needs a crank to be turned,a radio that needs four batteries,a computer that needs to be plugged in,a stove that works on gas,A
A clothes dryer that is set to run for 30 minutes is an example of which of the following control systems?,Open loop,Closed loop,Negative feedback,Positive feedback,A
Speed control by variation of field flux results in,constant power drive.,constant torque drive.,variable power drive.,none of the above.,A
For intermittent work which of the following furnace is suitable?,Core less furnace.,Indirect arc furnace.,Either of above.,Nither of above.,B
What is the term for organisational development through a formally designed organisational structure?,Organic,Mechanistic,Formal,Structured,B
What was the acronym for the first computer, made back in 1946?,"ENIAC,CASD",CNAC,CSREN,A
Which of the following techniques effectively measures improvements in product quality as a result of internal failure costs?,Inspection of in-process goods.,Recording the number of products returned over time.,Tracking the number of products reworked.,Tracking warranty expenses over time.,C
Which of the following are techniques of trace element analysis?,proton magnetometer and electrical resistivity,accelerator mass spectrometry and photosynthesis pathways,carbon isotope analysis and experimental replication,neutron activation analysis and X- ray fluorescence,D
Which of the following decision-making techniques is most useful to a manager who is attempting to increase the profitability of an area, but who has a problem with limited capacity for operation of a critical machine?,"Theory of constraints.,Economic order quantity.",Balanced scorecard.,Cost-variance analysis.,A
what creates no pollution?,natural fuel like coal or gas,mills that makes energy from the wind,buildings that make large quantities of items,transportation contraptions with four wheels,B
In the lab, students are working with substances that could cause burns. Which of these safety precautions is most important to follow?,"Sinks are empty.,Glassware is clean.",Eye protection is worn.,Electrical equipment is off.,C
 This is where the manufacturing, purchasing," and consumption can occur at differing points in time.,Time utility.,Ownership utility.",Accessibility.,Information utility.,A
mechanical weathering is breaking down what by mechanical means?,hills,trees,knolls,boulders,D
Many common hand tools create a mechanical advantage by using the basic principles found in simple machines. For example, a screwdriver uses the principles of the wheel and axle. In order to increase gripping force," pliers use the principle demonstrated in the,pulley.,lever.",wedge.,screw.,B
Existential risks posed by AI are most commonly associated with which of the following professors?,Nando de Frietas,Yann LeCun,Stuart Russell,Jitendra Malik,C
What is safest to breathe around?,coal plant,Union Carbide plant,windmill,automobile,C
What safety rule is most important for students to follow when working with acids and bases?,wear nose plugs,put on safety goggles,put away all lab supplies,wear heavy cloth gloves,B
What one of the following is not a key management skill in planning?,Conceptual skills,Analytical skills,IT and computing skills,Communication skills,C
Statement 1| Industrial-scale neural networks are normally trained on CPUs, not GPUs. Statement 2| The ResNet-50 model has over 1 billion parameters.,"True, True,False, False,True, False",FALSE, True,B
Thin laminations are used in a machine in order to reduce,Eddy current losses,Hysteresis losses,Both A and B,Copper losses,A
The primary focus of the ?????systems approach????? to the problems of business and industry is to improve,organizational performance,work habits,organizational morale,individual morale,A
A battery operated vehicle requires everything but,electricity,ions,petroleum,charging,C
Which is the best way a science student can help to maintain laboratory equipment?,perform investigations using only new materials,throw away glass items after investigations are complete,clean up all materials and workspaces after investigations,eat in the laboratory only after investigations are complete,C
Trainability tests are:,paper-and-pencil tests that assess the aptitudes required for a particular job.,paper-and-pencil tests that assess motivation and other job-related attitudes.,work samples that incorporate a structured period of learning and evaluation.,multimodal assessment techniques used to determine what training current workers require.,C
What are the types of scanning?,Port," network, and services,Network, vulnerability, and port ,Passive, active, and interactive,Server", client, and network,B
Which type of scientist would study the relationship between simple machines and energy?,chemist,biologist,physicist,geologist,C
All of the following are non-basic jobs in the city EXCEPT,city firefighter.,social worker.,dry cleaner.,garment factory worker.,D
Which of the following is the best example of a custom-made product?,graphing calculator,light bulb,needle nose pliers,artificial leg,D
Students want to find out at which temperature bean plants grow tallest. Which science process skill would be used to find this temperature?,inferring,predicting,measuring,classifying,C
By using which of the following elements, mechanical translational systems are obtained?,"mass element,spring element",dash-pot,all of the above,D
Which of the following instruction-set features is NOT generally considered an obstacle to aggressive pipelining of an integer unit?,Condition codes set by every instruction,Variable-length encoding of instructions,Instructions requiring widely varying numbers of cycles to execute,Several different classes (sets) of registers,D
Which energy transformation takes place in a gasoline lawn mower?,potential energy to electrical energy,electrical energy to potential energy,kinetic energy to chemical energy,chemical energy to mechanical energy,D
What is the guiding principle of scientific management?,Experimentation,Fluid working relationships,Freedom of association,One best way to do a job,D
Which of the following activities are NOT secondary economic activities?,Assembling automotive parts,Sewing shirts,Mining copper,Binding books,C
Which is a source of raw materials?,a power plant,a factory,a shopping mall,an oil field,D
Which of these is an important safety rule to follow when using an electrical device?,Wear an apron.,Keep work area dry.,Extinguish all flames.,Wear protective gloves.,B
Which of the following actions is most important before removing the blade from a gas-powered lawn mower?,Adjusting the wheels to their highest level,Removing the spark plug,Emptying the gas tank,Removing the air filter,B
What does the acronym SMART stand for?,Suitable," measurable, actionable, rewarded and timely,Specific, measurable, actionable, resourced and timely,Standardised, measurable, achievable, rewarded, and timely,Specific, measurable", achievable, rewarded and timely,D
Which of the following would be most useful for calculating the density of a rock sample?,microscope and balance,graduated cylinder and balance,microscope and graduated cylinder,beaker and graduated cylinder,B
Which of the following is/are the disadvantages of an open loop control system?,Inaccurate.,Unreliable.,both A and B.,none of the above.,C
Neural networks:,Optimize a convex objective function,Can only be trained with stochastic gradient descent,Can use a mix of different activation functions,None of the above,C
When working with chemicals in the lab, avoid getting hurt by,"trying to set fire to all of the chemicals,mixing things together without knowing what they are",drinking a sample of each of the chemicals,keeping your eyes covered,D
When a battery operated train is turned on, it moves along the track. Which best identifies the order of the types of energy used to make the train move?,"mechanical, chemical, electrical,electrical, chemical, mechanical,electrical, mechanical, chemical,chemical", electrical, mechanical,D
A microprocessor is ALU,and control unit on a single chip.,and memory on a single chip.,register unit and I/O device on a single chip.,register unit and control unit on a single chip.,D
At which stage in the planning process are the objectives decided on?,Defining the program,Planning the program,Taking action and implementing ideas,Evaluation of the program,B
Enhancement of job satisfaction and productivity are key characteristics of which theoretical perspective of work design?,Process improvement,Techno-structural change model,Job characteristics model,Socio-technical systems,D
Automobile engines built today are designed to be gas efficient. Gas-efficient engines most likely affect a city by reducing,air pollution.,heat pollution.,noise pollution.,light pollution.,A
Which oscillators are easy to fabricate in a monolithic IC?,Crystal oscillator.,Hartley oscillator.,Wien bridge oscillator.,Relaxation oscillator.,D
Which of the following security sectors are intrinsically linked with energy security?,Economic and development security.,Regime and international security.,Environmental and human security.,All of these options.,D
Which of the following best describes an advantage of using a mass production manufacturing system instead of a custom manufacturing system?,Customers can provide specific feedback to workers.,Workers become skilled in all aspects of assembly.,Goods can be easily modified for customers.,Products can be made at a lower cost.,D
Which of the following is NOT supervised learning?,PCA,Decision Tree,Linear Regression,Naive Bayesian,A
Which is nonmagnetic?,nail,washing machine,traffic cone,refrigerator,C
An engineer constructs a prototype from wood. Which of the following is the best tool for the engineer to use to make the prototype's surface smooth?,band saw,chisel,drill,sandpaper,D
which form of transportation has zero emissions?,motorbikes,speed boats,hybrid cars,pedal bikes,D
Due to weathering,large submarines are built,new bikes are raced,holes in the pathway,2nd story houses are built,C
Slamming the breaks in a car will,make the car speed,quickly bring the speed down,turn on it's radio,open all the doors,B
In a postindustrial economy, which of the following resources is considered most important to increase productivity?,"Energy,Labor",Information,Specialization,C
Laser anemometers help manufacturers of cars, airplanes and spacecraft to produce efficient vehicle designs that,"increase the gas mileage of the vehicles,increase the drag from air moving past them",decrease exhaust fumes from the vehicles,reduce resistance from air moving past them,D
What requires soil to grow?,lakes,car engine,daffodils,cows,C
Which technology used to generate electrical power involves a trade-off between economical electricity and long-term waste disposal problems?,fossil fuel,nuclear reactor,solar collector,wind turbine,B
Another term for out-of-distribution detection is?,anomaly detection,one-class detection,train-test mismatch robustness,background detection,A
Which of the following make sustainable, long term energy?,"fossil fuels,windmills",coal mining,fracking,B
A production possibility frontier will be a straight line when,efficiency is achieved,the goods on the axes are perfect substitutes in consumption,utility is maximized,resources are not specialized,D
Of what is worker autonomy in decision making an example?,Worker freedom,Greater worker negotiation,Worker empowerment,Increased worker power,C
Screws and bolts are needed to do what with a bike?,eat it,cry,nothing,construct it,D
A car engine is a source of heat and therefore needs,radiator fluid,water added,wiper fluid,gasoline,A
A student wants to look under a heavy rock. Which simple machine would be BEST to use to lift the rock?,Wheel and axle,Lever,Inclined plane,Screw,B
With respect to job training, younger workers,"Receive more opportunities than older workers,Perform better on the job than trained older workers",Always learn faster than older workers,Prefer to have classes by themselves,A
 What channel structure is it where the product goes directly from the producer to the final customer?,Direct.,Indirect.,Hybrid.,None of the above.,A
The diminishing supply of this nonrenewable resource is leading to advancements in automotive technology,petrol,coal,trees,steam,A
In Digital Logic Designs, GAL is abbreviated as,"General Advance Logic,General Array Logic",Generic Advance Logic,Generic Array Logic,D
Which of these sets of logic gates are designated as universal gates?,NOR," NAND.,XOR, NOR, NAND.,OR, NOT, AND.,NOR", NAND, XNOR.,A
Which of these are essential to people who commute to work in an automobile?,cats,clouds,dogs,dead dinosaurs,D
Which tool technology is associated with Neandertals?,Aurignacian,Acheulean,Mousterian,both b and c,C
A mechanical device requires 420 J of work to do 230 J of work in lifting a crate. What is the efficiency of the device?,65%,50%,60%,55%,D
Both the ALU and control section of CPU employ which special purpose storage location?,Buffers,Decoders,Accumulators,Registers,C
"An ""A+"" course grade is which kind of reinforcer?",primary,secondary,continuous,partial,B
At time 0, five jobs are available for execution on a single processor," with service times of 25, 15, 5, 3, and 2 time units. Which of the following is the minimum value of the average completion time of these jobs?,50,208/5",5???-92,10,C
Which invention made mass production possible?,the assembly line,the airplane,the personal computer,the telephone,A
Which of the following components is present in both pneumatic and hydraulic systems?,Exhaust,Reservoir,Compressor,Control value,D
Which resource has the most potential for production of renewable electric energy?,coal,oil,natural gas,geothermal,D
What are the sets of commands in a program which are not translated into machine instructions during assembly process, called?,"Mnemonics,Directives",Identifiers,Operands,B
Battery powered vehicles have less emissions than,lawnmowers,wind turbines,solar power,dragsters,D
What one of the following is not a characteristic of the job characteristics model?,Task identity,Autonomy,Reward,Feedback,C
Which type of energy in gasoline is transformed into mechanical energy in a motorcycle engine?,chemical,nuclear,magnetic,electrical,A
The metal detectors people walk through at airports operate via,Ohm?????s law,Faraday?????s law,Coulomb?????s law,Newton?????s laws,B
Which of these involves the formation of a new chemical substance?,evaporation of gasoline,mixing salt and pepper,dissolving sugar in tea,rusting of an iron chain,D
Relocating a stalled vehicle requires a lot of,slopes,force,wind,gravity,B
Which objects are the most useful for collecting data on the speed of a toy car?,microscope," computer, ruler,thermometer, calculator, magnet,stopwatch, calculator, meter stick,camera", digital recorder, safety goggles,C
What is made of minerals?,Stonehenge,car engines,alcohol,electricity,A
What are characteristics of a programmed decision?,Complex and risky,Uncertain and non-routine,Low risk and certain,Routine and non-complex,D
Within the COSO Internal Control?????Integrated Framework, which of the following components is designed to ensure that internal controls continue to operate effectively?,"Control environment.,Risk assessment.",Information and communication.,Monitoring.,D
I have to plug in a processor of food because it,Is used for grinding metal,is an oil machine,is an electric Motor,is a battery operated machine,C
A person wants to use raw materials to make things. Considering the want to create with raw materials, the person,"makes books out of trees,makes rocks out of wood",makes corn out of dogs,makes fur out of tableclothes,A
Sherry is going to use her computer to draw a three-dimensional box. She wants to be able to specify the exact dimensions and angles and to rotate the box as needed on the screen. Which of the following types of programs would Sherry most likely use for this purpose?,word processing software,math spreadsheet program,Internet-based search engine,computer-aided design program,D
The structures found in a living cell can be compared to the parts of a factory that produces cars. Which part of the factory is most similar to the nucleus of a living cell?,a conveyor belt that transports materials,a storage bin that holds the pieces needed to assemble a car,the computer room that controls the assembly process,the generator that provides energy for the factory,C
An object's hardness, taste," and texture are examples of,principles,stages",properties,processes,C
Which of the following statements is true of production possibility curves and trade between nations?,Nations specialize and trade based on absolute advantage in production.,Free trade allows each nation to consume beyond the production possibility curve.,The flow of goods and services is based on the principle of absolute advantage.,Nations can consume at points beyond the production possibility curve by protecting domestic industries from free trade.,B
What functions without contact between objects?,weight,friction,opposites attracting,pressure,C
On what surface does a braking car have the most trouble?,gravel,oil slick,sand,asphalt,B
All of the following are uses of job analysis except,marching the right person with the right job,setting wages and salaries,establishing safety standards,determining underutilization in workforce labor marker comparisons,D
As of 2020, which architecture is best for classifying high-resolution images?,"convolutional networks,graph networks",fully connected networks,RBF networks,A
From smallest to largest, the levels of organization in living things are,"tissues, cells, organs, organ systems.,tissues, cells, organ systems, organs.,cells, tissues, organs, organ systems.,cells, tissues", organ systems, organs.,C
A car can be powered by all but,the push of a cat,fossil fuel products refined,the motion of atmosphere,the warmth of the sun,A
A caterpillar is a part one of the mundane four stage life cycle of,a machine,a company,an engine,a colorful invertebrate,D
Which of the following vocational interest inventories is not tied to Holland?????s theory of vocational interest?,Kuder Occupational Interest Survey,Strong Interest Inventory,The Campbell Interest and Skill Survey,Self-Directed Search,A
Functional structures help to create??...,teamwork,specialisation,project work groups,multi-skilled employees,B
Who of the following is the industrial philanthropist?,Frederick Taylor,Seebohm Rowntree,Henry Ford,Max Weber,B
What tool would be most useful to calculate the volume of a glass prism?,ruler,scale,voltmeter,thermometer,A
Which of the following tools is most useful for tightening a small mechanical fastener?,chisel,pliers,sander,saw,B
A starvation-free job-scheduling policy guarantees that no job waits indefinitely for service. Which of the following job-scheduling policies is starvation-free?,Round-robin,Priority queuing,Shortest job first,Youngest job first,A
 Toyota's Prius and Honda's hybrid Civic are examples of technological products inspired by:,Style considerations in the Japanese automobile industry.,"Social pressure to develop more fuel-efficient vehicles with fewer dangerous emissions.,The desire of many engineers to simply make interesting products.",The realization that Japanese people didn't need large, high-speed cars.,B
Which of these should an objective NOT be?,Broad,Achievable,Measurable,Time-bound,A
The most automatic of the proposed memory systems is ___________.,Episodic memory,Semantic memory,Declarative memory,Explicit memory,A
An industry that create a lot of waste is:,Solar Power Companies,Recycling companies,water production companies,Cleaning Companies,D
All of the following but which would be considered renewable energy sources?,Solar,Wind,Natural Gas,Hydropower,C
Which of these would best be shown as a 3-D model?,color spectrum,magnetic field,skeletal system,water cycle,C
Which scientific model could be used to predict the properties of an element?,closed loop system,Punnett square,Periodic Table,water cycle chart,C
Which of the following is NOT a characteristic of perfectly competitive industry?,Free entry into the industry.,Product differentiation.,Perfectly elastic demand curve.,Homogeneous products.,B
Modern computer microchips are primarily composed of what element?,Sodium,Silicon,Aluminum,Silver,B
Which would be excluded from a list of objects with metallurgical properties?,iron,bone,gold,steel,B
Which of the following industries does NOT need to be close to its markets?,Dairy foods,Bulk-gaining products,Single-market products,Bulk-reducing products,D
As the car approaches a hill it will become harder to,steer,park,push,brake,C
What does PEST stand for?,Political," environmental, strategic, testing,Political, environmental, strategic, technological,Political, economic, strategic, technological,Political, economic", social, technological,D
 Which of the following elements is not part of Porter's Five Forces model for industry competitiveness?,Threat of substitutes.,Threat of suppliers.,Power of buyers.,Threat from government.,D
Which profession likely relies most on the Earth's poles?,a bus driver,a salesman,a mechanic,a seaman,D
Generally, electricity cannot flow through,"incomplete conductive paths,complete conductive paths",closed circuits,low-resistant electrons,A
Which action best models the motion of an arm at the elbow joint?,opening a drawer,slicing an apple,closing a car door,pushing a wheelbarrow,C
When doing experiments,eat food around the chemicals,forego using safety protocols,leave writing down data until everything is done,guard against spilling hydrogen chloride,D
A mechanism that a ____ uses is a ____,see-saw; pulley,crane; pulley,lever; lever,cat; fishing rod,B
Which of the following are the disadvantages of a closed loop control system?,Reduces the overall gain.,Complex and costly.,Oscillatory response.,All of the above.,D
Materials used in heat sink should have,high thermal conductivity.,large surface area.,high melting point.,All of these.,D
According to Alfred Weber's least-cost theory, which one of the following costs of production is the most important factor in locating an industry?,"Labor,Transport",Raw materials,Agglomeration costs,B
Water used in a factory is heated to 75 degrees Celsius. It is discharged into a nearby river that has a normal temperature of 20 degrees Celsius. Which should most likely be done to minimize damage to the river?,decrease the temperature of the factory water,increase the temperature of the river water,remove the vegetation from the river,add more fish to the river,A
A computer needs what to be functional,money,positive ions,a mommy,youtube,B
pushing an object requires,studying,dancing,singing,exherted effort,D
A machine learning problem involves four attributes plus a class. The attributes have 3,2," 2, and 2 possible values each. The class has 3 possible values. How many maximum possible different examples are there?,12,24",48,72,D
In electrical resistance welding material of electrode should have,higher electrical conductivities.,higher thermal conductivities.,sufficient strength to sustain high pressure at elevated temperatures.,all of above.,D
What type of test is the Advanced Placement Examination in Psychology?,aptitude,projective,achievement,intelligence,C
What are the basic structural units of living organisms?,cells,nuclei,organs,tissues,A
Which of the following uses electrical energy?,curling iron,iron weight,iron wrench,potential energy,A
In order to assemble a bike, the following are needed with exception of?,"Nails,Bolts",Screws,Bars,A
If you were hired by a large company to develop a new training program, your first step would probably be to conduct a:,"needs analysis.,job evaluation.",summative evaluation.,formative evaluation.,A
Why does a turkey thermometer plunger cap come off?,cold uranium ore,expanding air,expanding lead,contracting gas,B
 Which of the following are aimed at providing customers with the peace of mind of knowing that the company they are purchasing from is competitive in price?,Price competitiveness.,Price assurance.,Reference prices.,Price guarantee schemes.,D
Which tool is used to measure the volume of a liquid?,balance,ruler,thermometer,graduated cylinder,D
Which of the following is an example of a bulk-gaining industry?,Steel,Bottled orange juice,Paper,Copper,B
What car company once manufactured and sold the 'Datsun' line of automobiles?,Nissan,Mazda,Toyota,Daihatsu,A
Which of the following steps in the design of a dog house would be earliest?,Acquiring all the tools necessary for the building,"Purchasing all the materials for building the structure,Identifying the color, shape", and style of the exterior surface,Accessing the measurements of the dog and all the interior materials,D
 Select the best translation into predicate logic: All robots are artifacts.,(?????x)(Ax ??? Rx),(?????x)(Ax ????? Rx),(?????x)(Rx ??? Ax),(?????x)(Rx ????? Ax),C
What tool is used to determine the mass of an object?,Balance,Meter stick,Thermometer,Graduated cylinder,A
Replacing supply chains with _______ enhances the importance of product _______as well as a fundamental redesign of every activity a firm engages in that produces _______.,Supply loops," Recapture, Waste,Supply loops, Redesign, Profit,Global production networks, Recapture, Waste,Global production networks", Redesign, Profit,A
What is the name of the Newtonian law that states 'An object in Motion tends to stay in motion'?,Law of Inertia,Law of Thermodynamics,Law of Relativity,Law of Gravitation,A
Of the following sorting algorithms, which has a running time that is LEAST dependent on the initial ordering of the input?,"Insertion sort,Quicksort",Merge sort,Selection sort,C
You can find ferrous metals in,Glass,Grass,Vehicle scraps,Wood,C
To function, electrical energy is required for what kind of devices?,"wet,zapping powered",hydro,watery,B
Which of these is a safe practice in a laboratory investigation when working with chemicals?,pouring unused chemicals down the sink,mixing leftover chemicals in one container,wearing safety goggles when working with chemicals,returning unused chemicals to the original container,C
Which of the following is an example of genetic engineering?,Growing a whole plant from a single cell.,Finding the sequences of bases in plant DNA.,Inserting a gene into plants that makes them resistant to insects.,Attaching the root of one type of plant to the stem of another type of plant.,C
The industry that makes plastic army figures uses a small fraction of the plastic demanded for all purposes. On this basis, we can conclude that the army-figures industry is most likely a(n),"increasing-cost industry,constant-cost industry",decreasing-cost industry,profit-making industry,B
Which lamp has the best Colour Rendering Index (CRI)?,LED,Fluorescent,Incandescent,High pressure sodium vapour,C
Newer hybrid cars will have what effect on the gas usage in the world over time?,less,more,more electric,slower cars,A
Which of the following has the highest predictive validity in personnel selection in industry,A projective technique,An objective personality inventory,An interview by the personnel manager,A biographical inventory,D
A person wants to take a a mode of transportation out that has two wheels so they will need to,drive,bus,cycle,run,C
What is an example of navigation?,reading novels,directing rudder,cooking,sleeping,B
To which planet do National Aeronautics and Space Administration (NASA) scientists hope to send humans next?,Mars,Venus,Jupiter,Mercury,A
As what is ensuring that one individual does not carry the burden of a whole work task referred to?,Work specialisation,Work design,Work schedule,Work shift,A
friction is used for stopping a vehicle by,running,singing,smelting,squeezing,D
An example of a circuit would be,Rock climbing,running a mile,dimming a bulb,swimming a lap,C
As the use of alt bio fuels increases, the use of what will decrease?,"wind power,solar heat",hydro-electric power,non regenerating fuels,D
A company which causes long lasting products will likely?,Sell less,Produce more,Produce Less,Sell more,A
How might you figure out what a parts are needed to let your car drive?,think very hard until you figure it out,ask the person who invented it,throw it in a lake and see if it floats,break it down and determine what it is composed of,D
The houses of the future may allow you to operate virtually everything in the house from a central terminal; such a house is already in production and is referred to as,Technohouse,Compuhouse,Futurehouse,Smarthouse,D
The demand curve for labor is derived from,the market labor demand curve,the demand curve for the output produced by labor,the labor supply curve for the firm,the equilibrium wage in the labor market,B
which one of these would be an original form of what powers most autos?,a can of water,a deposit of crude,a large river dam,a big oak tree,B
For a dc machine shunt resistance and armature resistance values are,high and high,high and low,low and low,low and high,B
A wind turbine primarily uses which type of energy?,nuclear,thermal,chemical,mechanical,D
If your training loss increases with number of epochs, which of the following could be a possible issue with the learning process?,"Regularization is too low and model is overfitting,Regularization is too high and model is underfitting",Step size is too large,Step size is too small,C
Which of these would most likely improve the air quality in large Texas cities?,Limiting the number of cars on the roads,Switching to wood stoves for home heating,Requiring large vehicles to use diesel fuel,Maintaining filters in large buildings,A
Which did Thomas Edison invent?,microscope,compass,light bulb,steam engine,C
Of the following, which is characteristic of formal operational thinking?,"simple motor responses to sensory stimuli,failure to understand reversibility,capacity to deal well with concrete objects", but not with hypothetical situations,logical reasoning and systematic planning,D
