Q,0,:
Layer 0,Attention mechanism,"('<s>', 3)","('пута', 1)","('sime', 1)","('瀬', 0)","('држави', 0)","('unicí', 0)","('őd', 0)","('invånare', 0)","('férences', 0)","('empre', 0)",Intermediate residual stream,"('sime', 2)","('<s>', 1)","('пута', 1)","('瀬', 0)","('unicí', 0)","('férences', 0)","('gerufen', 0)","('invånare', 0)","('cí', 0)","('ímp', 0)",MLP output,"('<s>', 18)","('bolds', 8)","('archivi', 7)","('ungsseite', 3)","('textt', 2)","('пута', 2)","('sime', 1)","('씨', 1)","('trakten', 0)","('ímp', 0)",Block output,"('<s>', 16)","('sime', 4)","('пута', 3)","('bolds', 3)","('archivi', 1)","('씨', 1)","('ímp', 1)","('trakten', 1)","('瀬', 1)","('textt', 1)"
Layer 11,Attention mechanism,"('af', 0)","('康', 0)","('gems', 0)","('aur', 0)","('�', 0)","('ables', 0)","('andenburg', 0)","('KS', 0)","('Conne', 0)","('drag', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ur', 1)","('worth', 0)","('worth', 0)","('ardi', 0)","('pill', 0)","('purs', 0)","('нос', 0)","('and', 0)","('skip', 0)","('合', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 12,Attention mechanism,"('ambiguation', 9)","('$}}%', 0)","('urch', 0)","('csol', 0)","('externas', 0)","('iele', 0)","('宝', 0)","('kup', 0)","('Produ', 0)","('kop', 0)",Intermediate residual stream,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ж', 0)","('bum', 0)","('Sax', 0)","('yes', 0)","('skip', 0)","('usk', 0)","('stag', 0)","('ail', 0)","('Dat', 0)","('experiment', 0)",Block output,"('sierp', 1)","('Unterscheidung', 1)","('nobody', 1)","('Hinweis', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 13,Attention mechanism,"('labels', 3)","('заня', 1)","('ija', 1)","('asser', 0)","('Whe', 0)","('bibli', 0)","('labels', 0)","('brary', 0)","('jem', 0)","('kazy', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('proper', 0)","('â', 0)","('t', 0)","('bridge', 0)","('mask', 0)","('in', 0)","('res', 0)","('iante', 0)","('(@', 0)","('unit', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 14,Attention mechanism,"('rale', 2)","('cyk', 1)","('elian', 1)","('unas', 1)","('�', 0)","('cion', 0)","('Fach', 0)","('fan', 0)","('ску', 0)","('orph', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('res', 1)","('expl', 0)","('gut', 0)","('.', 0)","('eni', 0)","('battery', 0)","('eth', 0)","('fuel', 0)","('atter', 0)","('(', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 15,Attention mechanism,"('imo', 4)","('gas', 3)","('Unter', 1)","('erson', 0)","('asta', 0)","('NSString', 0)","('Zyg', 0)","('proj', 0)","('ska', 0)","('penas', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ią', 1)","('星', 0)","('istan', 0)","('complex', 0)","('etes', 0)","('ześ', 0)","('â', 0)","('inject', 0)","('ree', 0)","('›', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 16,Attention mechanism,"('attan', 0)","('Honor', 0)","('Dean', 0)","('reb', 0)","('Old', 0)","('outer', 0)","('H', 0)","('atri', 0)","('iz', 0)","('ulla', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('nobody', 1)","('kwiet', 1)","('everybody', 1)","('Einzeln', 0)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('geprüft', 5)","('guez', 2)","('lês', 2)","('&=\\', 1)","('⁻', 1)","('brary', 0)","('textt', 0)","('≫', 0)","('Unterscheidung', 0)","('prüfe', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 17,Attention mechanism,"('esa', 0)","('inden', 0)","('kn', 0)","('eso', 0)","('plots', 0)","('ulle', 0)","('sys', 0)","('ako', 0)","('iclopedia', 0)","('labour', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('.', 1)","('/', 1)","('in', 1)","('\u200b', 1)","('.', 0)","(';', 0)","('(', 0)","('iner', 0)","('(', 0)","('-', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 18,Attention mechanism,"('INIT', 1)","('Tit', 1)","('%).', 0)","('akh', 0)","('penas', 0)","('\u2003', 0)","('Doc', 0)","('functions', 0)","('imento', 0)","('%.', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('estanden', 4)","('\n', 1)","('azon', 0)","('onk', 0)","('oure', 0)","('ándose', 0)","('тет', 0)","('ณ', 0)","('száz', 0)","('multicol', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 19,Attention mechanism,"('dek', 3)","('bund', 2)","('voy', 1)","('chen', 0)","('Jord', 0)","('iesen', 0)","('checkbox', 0)","('бре', 0)","('ingo', 0)","('awa', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)",MLP output,"('textt', 5)","('člán', 3)","('lês', 3)","('prüfe', 2)","('archivi', 2)","('données', 2)","('geprüft', 2)","('prilis', 1)","('ˇ', 1)","('entferne', 1)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 20,Attention mechanism,"('Japanese', 33)","('Japan', 22)","('Tokyo', 15)","('Toy', 9)","('jap', 2)","('Japon', 0)","('japon', 0)","('autom', 0)","('hn', 0)","('Jap', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('uil', 2)","('Mort', 1)","('ilon', 1)","('Contempor', 1)","('aku', 1)","('Por', 0)","('Roland', 0)","('yter', 0)","('ándose', 0)","('Pir', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 21,Attention mechanism,"('dostęp', 1)","('Toy', 0)","('Motor', 0)","('untu', 0)","('jú', 0)","('auto', 0)","('Vic', 0)","('frika', 0)","('�', 0)","('↓', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('es', 36)","('oot', 1)","('.', 0)","('száz', 0)","('outer', 0)","('eso', 0)","('esa', 0)","('over', 0)","('Por', 0)","('nest', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 22,Attention mechanism,"('them', 1)","('rola', 0)","('jú', 0)","('----+', 0)","('driver', 0)","('они', 0)","('acre', 0)","('oid', 0)","('lesia', 0)","('府', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('alis', 1)","('eken', 0)","('ing', 0)","('oke', 0)","('Tags', 0)","('Dabei', 0)","('isses', 0)","('Ob', 0)","('me', 0)","('(', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 23,Attention mechanism,"('Hy', 7)","('hy', 2)","('Dabei', 1)","('unden', 0)","('не', 0)","('raw', 0)","('cí', 0)","('esh', 0)","('bez', 0)","('CHAPTER', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('ue', 1)","('ale', 1)","('ille', 1)","('oud', 1)","('oke', 1)","('oot', 1)","('lik', 0)","('<s>', 0)","('сле', 0)","('alet', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 24,Attention mechanism,"('Japanese', 87)","('Japan', 9)","('jap', 2)","('Jap', 0)","('Japon', 0)","('Tokyo', 0)","('japon', 0)","('日', 0)","('Toy', 0)","('apan', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('kwiet', 1)","('Hinweis', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('igh', 1)","('CD', 1)","('mask', 0)","('Tags', 0)","('ğ', 0)","('oug', 0)","('�', 0)","('schließ', 0)","('xis', 0)","('Por', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('kwiet', 1)","('Hinweis', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 25,Attention mechanism,"('ا', 2)","('iani', 1)","('each', 1)","('TA', 1)","('ュ', 1)","('tring', 1)","('atom', 0)","('ut', 0)","('usch', 0)","('recht', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('kwiet', 1)","('Hinweis', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('Dabei', 1)","('(', 1)","('Außerdem', 1)","('I', 1)","('.,', 0)","('oot', 0)","('ild', 0)","('←', 0)","('hips', 0)","('ues', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('kwiet', 1)","('Hinweis', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 26,Attention mechanism,"('_', 99)","('(_', 0)","('**', 0)","('__', 0)","('Pri', 0)","('(_', 0)","('<', 0)","('Toy', 0)","('cars', 0)","('vehicles', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('kwiet', 1)","('Hinweis', 1)","('nobody', 1)","('everybody', 1)","('фев', 1)","('Einzeln', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('(', 7)","('<s>', 3)","('-', 2)","('--', 1)","('He', 0)","('ized', 0)","('&', 0)","('Se', 0)","('She', 0)","('—', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('kwiet', 1)","('Hinweis', 1)","('nobody', 1)","('everybody', 1)","('фев', 1)","('Einzeln', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 27,Attention mechanism,"('Their', 8)","('their', 3)","('E', 2)","('Хронологија', 2)","('ね', 1)","('A', 1)","('férences', 1)","('ulpt', 0)","('dbo', 0)","('createElement', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('kwiet', 1)","('Hinweis', 1)","('nobody', 1)","('everybody', 1)","('фев', 1)","('Einzeln', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('<s>', 99)","('abei', 0)","('jön', 0)","('arin', 0)","('�', 0)","('schließ', 0)","('sjö', 0)","('oltre', 0)","('éné', 0)","('findet', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('kwiet', 1)","('Hinweis', 1)","('nobody', 1)","('everybody', 1)","('фев', 1)","('Einzeln', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 28,Attention mechanism,"('Toy', 2)","('Č', 1)","('"",', 1)","('"",', 1)","('"",""', 1)","('Einzeln', 0)","('%,', 0)","('%""', 0)","('Хронологија', 0)","('tons', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('kwiet', 1)","('Hinweis', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('<s>', 99)","('entferne', 0)","('ungsseite', 0)","('archivi', 0)","('mathchar', 0)","('$}}%', 0)","('beskre', 0)","('Begriffsklär', 0)","('Audiodateien', 0)","('AccessorImpl', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('kwiet', 1)","('Hinweis', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)"
Layer 29,Attention mechanism,"('H', 5)","('C', 3)","('finger', 1)","('tie', 1)","('sub', 1)","('adj', 1)","('Â', 1)","('\x82', 0)","('yer', 0)","('iemann', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('kwiet', 1)","('Hinweis', 1)","('nobody', 1)","('everybody', 1)","('Einzeln', 1)","('фев', 1)","('paździer', 0)","('Begriffe', 0)",MLP output,"('$}}%', 30)","('beskre', 30)","('Хронологија', 1)","('archivi', 0)","('Попис', 0)","('perties', 0)","('Audiodateien', 0)","('Ћ', 0)","('konn', 0)","('ependant', 0)",Block output,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('Einzeln', 1)","('everybody', 1)","('фев', 0)","('paździer', 0)","('Begriffe', 0)"
Layer 30,Attention mechanism,"('_', 18)","('**', 2)","('__', 1)","('bon', 1)","('[_', 0)","('[""', 0)","('""\'', 0)","('""[', 0)","('""_', 0)","('""', 0)",Intermediate residual stream,"('sierp', 2)","('Unterscheidung', 1)","('Hinweis', 1)","('kwiet', 1)","('nobody', 1)","('Einzeln', 1)","('everybody', 1)","('paździer', 0)","('фев', 0)","('Begriffe', 0)",MLP output,"('Љ', 0)","('Ћ', 0)","('Ъ', 0)","('Џ', 0)","('Ё', 0)","('հ', 0)","('Щ', 0)","('գ', 0)","('Մ', 0)","('Հ', 0)",Block output,"('Ћ', 0)","('\n', 0)","('(', 0)","('Ъ', 0)","('Љ', 0)","('P', 0)","('C', 0)","('.', 0)","('M', 0)","('', 0)"
Layer 31,Attention mechanism,"('kwiet', 3)","('Unterscheidung', 3)","('sierp', 3)","('Hinweis', 2)","('paździer', 1)","('Einzeln', 1)","('фев', 1)","('Begriffe', 0)","('nobody', 0)","('stycz', 0)",Intermediate residual stream,"('\n', 0)","('(', 0)","('P', 0)","('""', 0)","('_', 0)","('C', 0)","('M', 0)","('S', 0)","('1', 0)","('', 0)",MLP output,"('1', 35)","('O', 22)","('0', 9)","('2', 8)","('The', 4)","('s', 3)","('I', 2)","('\n', 2)","('S', 1)","('', 1)",Block output,"('\n', 1)","('(', 0)","('1', 0)","('', 0)","('A', 0)","('S', 0)","('P', 0)","('H', 0)","('""', 0)","('T', 0)"
"
"
Q,1,:
Layer 0,Attention mechanism,"('<s>', 4)","('sime', 1)","('invånare', 0)","('пута', 0)","('桥', 0)","('guez', 0)","('nitz', 0)","('瀬', 0)","('őd', 0)","('씨', 0)",Intermediate residual stream,"('<s>', 2)","('sime', 1)","('invånare', 0)","('瀬', 0)","('idense', 0)","('пута', 0)","('桥', 0)","('estamp', 0)","('nitz', 0)","('férences', 0)",MLP output,"('<s>', 20)","('bolds', 17)","('archivi', 11)","('textt', 3)","('ungsseite', 2)","('sime', 2)","('пута', 0)","('씨', 0)","('&=\\', 0)","('Portail', 0)",Block output,"('<s>', 31)","('bolds', 9)","('sime', 4)","('archivi', 2)","('пута', 1)","('씨', 1)","('textt', 1)","('trakten', 0)","('őd', 0)","('玉', 0)"
