Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer10,"[('gresql', 6), ('lan', 0), ('\u200d', 0), ('貴', 0), ('orn', 0), ('rote', 0), ('lès', 0), ('dump', 0), ('lop', 0), ('Priv', 0)]","[('cul', 1), ('ậ', 1), ('ण', 1), ('Bian', 0), ('ulle', 0), ('Ξ', 0), ('maj', 0), ('ове', 0), ('Hat', 0), ('tied', 0)]","[('ju', 6), ('ann', 0), ('ща', 0), ('erton', 0), ('ram', 0), ('Ju', 0), ('am', 0), ('sle', 0), ('ile', 0), ('öt', 0)]","[('tied', 1), ('tie', 1), ('ậ', 1), ('etwork', 0), ('io', 0), ('ण', 0), ('Nik', 0), ('Sch', 0), ('bes', 0), ('esterni', 0)]"
layer11,"[('kop', 2), ('Holder', 1), ('FI', 1), ('fare', 1), ('vectors', 0), ('╔', 0), ('xsl', 0), ('olo', 0), ('ossa', 0), ('enschaft', 0)]","[('tie', 1), ('zor', 1), ('tied', 1), ('privile', 1), ('priv', 0), ('priv', 0), ('io', 0), ('ậ', 0), ('scholar', 0), ('esterni', 0)]","[('äd', 4), ('enter', 1), ('ego', 1), ('ce', 0), ('oport', 0), ('oval', 0), ('January', 0), ('awk', 0), ('storm', 0), ('Storm', 0)]","[('priv', 2), ('scholar', 1), ('priv', 0), ('My', 0), ('io', 0), ('tab', 0), ('прис', 0), ('House', 0), ('не', 0), ('privile', 0)]"
layer12,"[('wan', 1), ('PC', 0), ('ită', 0), ('desar', 0), ('Außer', 0), ('ris', 0), ('kwiet', 0), ('поль', 0), ('ket', 0), ('Entwicklung', 0)]","[('priv', 1), ('scholar', 0), ('privile', 0), ('ett', 0), ('priv', 0), ('cul', 0), ('zor', 0), ('Φ', 0), ('My', 0), ('content', 0)]","[('nap', 1), ('hrte', 0), ('cil', 0), ('asz', 0), ('egos', 0), ('baz', 0), ('Види', 0), ('OCLC', 0), ('auss', 0), ('rz', 0)]","[('scholar', 1), ('zor', 0), ('privile', 0), ('cul', 0), ('lever', 0), ('priv', 0), ('House', 0), ('NE', 0), ('suspect', 0), ('XT', 0)]"
layer13,"[('pend', 2), ('kv', 1), ('rör', 1), ('tring', 0), ('aze', 0), ('onderwerp', 0), ('ane', 0), ('han', 0), ('Hub', 0), ('Handler', 0)]","[('zor', 1), ('scholar', 0), ('cul', 0), ('cube', 0), ('NE', 0), ('uda', 0), ('ậ', 0), ('</s>', 0), ('privile', 0), ('rising', 0)]","[('principal', 1), ('èque', 0), ('SERT', 0), ('este', 0), ('DP', 0), ('cola', 0), ('lik', 0), ('formal', 0), ('Fernseh', 0), ('grund', 0)]","[('</s>', 1), ('NE', 0), ('zor', 0), ('си', 0), ('priv', 0), ('meg', 0), ('BR', 0), ('scholar', 0), ('comprom', 0), ('gresql', 0)]"
layer14,"[('Oscar', 2), ('singleton', 2), ('aku', 1), ('ordon', 0), ('Rock', 0), ('NER', 0), ('otto', 0), ('para', 0), ('azu', 0), ('gt', 0)]","[('</s>', 1), ('NE', 0), ('си', 0), ('�', 0), ('rising', 0), ('Day', 0), ('pla', 0), ('Ferd', 0), ('backend', 0), ('singleton', 0)]","[('�', 1), ('Mun', 1), ('II', 1), ('innen', 0), ('Ptr', 0), ('archiv', 0), ('pal', 0), ('gren', 0), ('ork', 0), ('daten', 0)]","[('</s>', 1), ('NE', 1), ('NE', 0), ('gg', 0), ('aze', 0), ('ki', 0), ('rising', 0), ('си', 0), ('az', 0), ('```', 0)]"
layer15,"[('kens', 5), ('aden', 0), ('isen', 0), ('fu', 0), ('azzo', 0), ('horn', 0), ('rze', 0), ('уче', 0), ('Tube', 0), ('Lorenzo', 0)]","[('</s>', 1), ('aci', 1), ('NE', 0), ('rising', 0), ('NE', 0), ('Sav', 0), ('aze', 0), ('ki', 0), ('рус', 0), ('My', 0)]","[('are', 1), ('Glas', 1), ('aled', 0), ('preg', 0), ('stan', 0), ('penas', 0), ('ifact', 0), ('YPE', 0), ('FAULT', 0), ('esc', 0)]","[('а', 0), ('</s>', 0), ('```', 0), ('�', 0), ('are', 0), ('emer', 0), ('bru', 0), ('My', 0), ('ki', 0), ('Riv', 0)]"
layer16,"[('totalité', 3), ('pez', 3), ('œuv', 1), ('유', 1), ('ugno', 1), ('ń', 1), ('�', 0), ('odn', 0), ('País', 0), ('Vater', 0)]","[('а', 2), ('</s>', 1), ('aze', 1), ('```', 0), ('ki', 0), ('NE', 0), ('си', 0), ('bru', 0), ('My', 0), ('cat', 0)]","[('Хронологија', 1), ('vain', 0), ('nell', 0), ('virti', 0), ('los', 0), ('чин', 0), ('stra', 0), ('agit', 0), ('reens', 0), ('imat', 0)]","[('</s>', 2), ('olly', 1), ('```', 0), ('iből', 0), ('lik', 0), ('aze', 0), ('NE', 0), ('а', 0), ('�', 0), ('straight', 0)]"
layer17,"[('lungo', 1), ('pred', 1), ('Ź', 0), ('prit', 0), ('alom', 0), ('note', 0), ('jou', 0), ('ugno', 0), ('ợ', 0), ('Johan', 0)]","[('</s>', 6), ('iből', 1), ('```', 1), ('deck', 0), ('aze', 0), ('esterni', 0), ('olly', 0), ('а', 0), ('NE', 0), ('Heil', 0)]","[('sce', 1), ('麻', 1), ('選', 0), ('nas', 0), ('Kontrola', 0), ('enberg', 0), ('utf', 0), ('น', 0), ('ombres', 0), ('Vé', 0)]","[('</s>', 15), ('```', 1), ('aze', 0), ('а', 0), ('esterni', 0), ('lik', 0), ('deck', 0), ('ner', 0), ('äd', 0), ('conform', 0)]"
layer18,"[('han', 2), ('onneur', 2), ('tan', 0), ('ᾶ', 0), ('�', 0), ('esty', 0), ('Sav', 0), ('iből', 0), ('держа', 0), ('ori', 0)]","[('</s>', 30), ('```', 2), ('Sav', 1), ('esterni', 0), ('iből', 0), ('aze', 0), ('а', 0), ('dn', 0), ('gresql', 0), ('fla', 0)]","[('Hozzáférés', 1), ('texte', 1), ('解', 0), ('↳', 0), ('timing', 0), ('resta', 0), ('ersch', 0), ('iali', 0), ('ére', 0), ('aes', 0)]","[('</s>', 32), ('```', 2), ('а', 0), ('iből', 0), ('Sav', 0), ('esterni', 0), ('ν', 0), ('dn', 0), ('aze', 0), ('arina', 0)]"
layer19,"[('avia', 3), ('```', 2), ('unden', 2), ('Ő', 2), ('дий', 1), ('option', 1), ('Bulg', 1), ('emberg', 1), ('тали', 0), ('ăt', 0)]","[('</s>', 52), ('```', 6), ('aze', 0), ('ν', 0), ('а', 0), ('Sav', 0), ('iből', 0), ('fla', 0), ('bek', 0), ('landa', 0)]","[('rix', 1), ('itz', 0), ('玉', 0), ('pla', 0), ('äler', 0), ('ismo', 0), ('Item', 0), ('p', 0), ('fin', 0), ('pra', 0)]","[('</s>', 46), ('```', 4), ('iből', 1), ('Sav', 0), ('aze', 0), ('ν', 0), ('fla', 0), ('а', 0), ('arina', 0), ('pov', 0)]"
layer20,"[('correct', 46), ('Correct', 26), ('correct', 25), ('incorrect', 0), ('correctly', 0), ('correction', 0), ('corrected', 0), ('single', 0), ('Single', 0), ('corre', 0)]","[('</s>', 31), ('```', 4), ('iből', 1), ('Sav', 0), ('aze', 0), ('а', 0), ('ν', 0), ('fla', 0), ('arina', 0), ('penas', 0)]","[('vid', 4), ('conc', 2), ('hell', 1), ('LENG', 1), ('iod', 1), ('ingers', 0), ('ональ', 0), ('odu', 0), ('len', 0), ('relax', 0)]","[('</s>', 17), ('```', 6), ('Sav', 0), ('penas', 0), ('iből', 0), ('aze', 0), ('input', 0), ('fla', 0), ('а', 0), ('deck', 0)]"
layer21,"[('option', 80), ('Option', 11), ('Option', 6), ('option', 1), ('options', 0), ('Options', 0), ('options', 0), ('answer', 0), ('Answer', 0), ('Answer', 0)]","[('</s>', 14), ('```', 7), ('option', 1), ('penas', 0), ('input', 0), ('answer', 0), ('iből', 0), ('Input', 0), ('Answer', 0), ('Option', 0)]","[('Tit', 6), ('anton', 4), ('vre', 2), ('ณ', 2), ('gesamt', 1), ('WCF', 1), ('uve', 1), ('dbc', 1), ('rund', 1), ('ат', 1)]","[('</s>', 14), ('```', 10), ('iből', 1), ('penas', 0), ('option', 0), ('answer', 0), ('input', 0), ('Input', 0), ('landa', 0), ('arina', 0)]"
layer22,"[('##', 85), ('##', 7), ('####', 2), ('Answer', 0), ('#', 0), ('answer', 0), ('Output', 0), ('Input', 0), ('Answer', 0), ('penas', 0)]","[('```', 4), ('</s>', 3), ('penas', 3), ('answer', 2), ('Input', 2), ('input', 1), ('Answer', 1), ('iből', 1), ('Input', 0), ('answer', 0)]","[('⅓', 1), ('ker', 0), ('Sem', 0), ('blank', 0), ('chen', 0), ('plorer', 0), ('pe', 0), ('INE', 0), ('mier', 0), ('major', 0)]","[('penas', 6), ('```', 3), ('</s>', 3), ('answer', 3), ('Answer', 2), ('input', 1), ('Input', 1), ('iből', 0), ('Input', 0), ('Answer', 0)]"
layer23,"[('{', 1), ('kret', 1), ('={{', 1), ('inand', 0), ('woord', 0), ('kele', 0), ('gin', 0), ('Singh', 0), (':{', 0), ('nig', 0)]","[('penas', 4), ('input', 3), ('</s>', 3), ('```', 2), ('Input', 2), ('answer', 1), ('iből', 1), ('Answer', 1), ('Input', 0), ('correct', 0)]","[('fica', 3), ('estaven', 1), ('adrat', 1), ('passage', 0), ('HL', 0), ('шо', 0), ('erde', 0), ('erer', 0), ('回', 0), ('wrapper', 0)]","[('</s>', 4), ('penas', 3), ('input', 3), ('```', 2), ('Input', 1), ('Answer', 1), ('answer', 1), ('correct', 0), ('❯', 0), ('Input', 0)]"
layer24,"[('referencing', 37), ('Reference', 25), ('reference', 9), ('references', 6), ('References', 2), ('reference', 1), ('Reference', 1), ('referenced', 0), ('Question', 0), ('Option', 0)]","[('</s>', 3), ('Input', 2), ('input', 2), ('```', 1), ('Answer', 1), ('option', 1), ('correct', 1), ('answer', 1), ('penas', 1), ('A', 0)]","[('Ps', 3), ('pf', 1), ('ASE', 1), ('Exp', 0), ('Hi', 0), ('heb', 0), ('ipage', 0), ('omas', 0), ('PS', 0), ('ling', 0)]","[('</s>', 4), ('penas', 2), ('correct', 2), ('Input', 1), ('```', 1), ('A', 1), ('input', 1), ('option', 1), ('Answer', 1), ('answer', 0)]"
layer25,"[('//', 85), ('//', 14), ('///', 0), ('///', 0), ('////', 0), ('options', 0), ('://', 0), ('Options', 0), ('labels', 0), ('options', 0)]","[('```', 7), ('options', 4), ('//', 3), ('</s>', 2), ('Input', 2), ('//', 2), ('correct', 1), ('input', 1), ('A', 1), ('penas', 0)]","[('just', 27), ('Just', 3), ('Just', 2), ('just', 1), ('⅓', 0), ('wort', 0), ('jus', 0), ('cier', 0), ('ectors', 0), ('dm', 0)]","[('```', 8), ('options', 6), ('//', 5), ('</s>', 3), ('//', 2), ('A', 1), ('penas', 1), ('correct', 1), ('option', 1), ('choices', 1)]"
layer26,"[('correct', 50), ('correctly', 9), ('Correct', 6), ('correct', 6), ('emp', 3), ('emp', 2), ('A', 2), ('Emp', 1), ('Company', 0), ('Emp', 0)]","[('correct', 10), ('A', 8), ('options', 7), ('option', 2), ('</s>', 2), ('```', 1), ('penas', 1), ('Options', 1), ('//', 1), ('Correct', 1)]","[('#', 2), ('mel', 1), ('bel', 1), ('dici', 0), ('ǧ', 0), ('dice', 0), ('opo', 0), ('esters', 0), ('caval', 0), ('�', 0)]","[('correct', 10), ('options', 5), ('A', 4), ('```', 3), ('</s>', 2), ('option', 1), ('//', 1), ('A', 1), ('penas', 1), ('❯', 1)]"
layer27,"[('</s>', 67), ('.»', 12), ('\n', 7), (""?'"", 4), ('」', 1), ('?}', 1), ('*/', 0), ('』', 0), ('</', 0), ('.«', 0)]","[('</s>', 28), ('correct', 7), ('options', 4), ('```', 3), ('A', 2), ('\n', 1), ('option', 1), ('//', 1), ('❯', 1), ('penas', 0)]","[('cor', 73), ('Cor', 18), ('Cor', 6), ('cor', 0), ('corr', 0), ('kor', 0), ('corr', 0), ('Kor', 0), ('Corps', 0), ('Corporation', 0)]","[('</s>', 30), ('```', 10), ('options', 3), ('❯', 1), ('\n', 1), ('option', 1), ('//', 1), ('options', 0), ('A', 0), ('A', 0)]"
layer28,"[('D', 82), ('A', 11), ('B', 5), ('D', 0), ('A', 0), ('Д', 0), ('C', 0), ('А', 0), ('C', 0), ('B', 0)]","[('A', 29), ('A', 10), ('</s>', 8), ('```', 6), ('//', 2), ('options', 2), ('Options', 1), ('Input', 1), ('❯', 1), ('D', 1)]","[('`}', 15), ('’', 14), ('""}', 2), ('AC', 2), ('A', 1), ('</', 1), ('`', 1), ('AG', 1), ('AP', 1), ('C', 0)]","[('A', 29), ('A', 20), ('</s>', 12), ('```', 4), ('options', 2), ('//', 1), ('\n', 1), ('option', 1), ('*/', 1), ('Options', 1)]"
layer29,"[('\n', 98), ('</s>', 0), ('Sol', 0), ('you', 0), ('你', 0), ('Sol', 0), ('you', 0), ('output', 0), ('input', 0), ('sol', 0)]","[('</s>', 33), ('\n', 15), ('A', 14), ('A', 10), ('```', 2), ('options', 1), ('option', 1), ('//', 0), ('Option', 0), ('Options', 0)]","[('{:', 37), ('Process', 6), ('{#', 5), ('Input', 4), ('input', 2), ('CON', 1), ('process', 1), ('Process', 1), (""{'"", 1), ('`', 1)]","[('A', 30), ('</s>', 14), ('A', 10), ('```', 5), ('\n', 5), ('//', 2), ('C', 1), ('Input', 1), ('Input', 1), ('Sol', 1)]"
layer30,"[('A', 36), ('D', 16), ('C', 1), ('D', 1), ('b', 0), ('Your', 0), ('Pattern', 0), ('DL', 0), ('water', 0), ('Democratic', 0)]","[('A', 59), ('A', 7), ('</s>', 6), ('```', 3), ('\n', 3), ('C', 2), ('//', 1), ('Input', 0), ('Input', 0), ('D', 0)]","[('', 58), ('\n', 19), (""'"", 5), ('...', 5), ('.', 1), ('-', 1), ('’', 0), ('a', 0), ('1', 0), ('…', 0)]","[('A', 42), ('\n', 28), ('</s>', 13), ('A', 8), ('C', 1), ('B', 0), ('D', 0), ('D', 0), ('//', 0), ('```', 0)]"
layer31,"[('', 67), ('answer', 5), ('Answer', 2), ('Answer', 2), ('answer', 1), ('answers', 0), (' ', 0), ('\xa0', 0), ('answered', 0), ('swers', 0)]","[('A', 36), ('\n', 30), ('</s>', 14), ('A', 5), ('', 2), ('C', 1), ('B', 1), ('D', 0), ('//', 0), ('```', 0)]","[('********', 1), ('[[', 1), ('{#', 1), ('```', 0), ('----------------', 0), ('Example', 0), ('##', 0), ('``', 0), ('Sidenote', 0), ('{""', 0)]","[('\n', 29), ('A', 10), ('```', 10), ('</s>', 6), ('D', 2), ('//', 2), ('C', 2), ('{', 2), ('  ', 1), ('Option', 1)]"
