Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer10,"[('xaml', 0), ('дова', 0), ('ymnasium', 0), ('SO', 0), ('BD', 0), ('fahr', 0), ('://', 0), ('above', 0), ('Spr', 0), ('aran', 0)]","[('j', 1), ('Jer', 0), ('abor', 0), ('ök', 0), ('asa', 0), ('Ej', 0), ('age', 0), ('Jules', 0), ('arn', 0), ('bing', 0)]","[('ovy', 0), ('ahlen', 0), ('�', 0), ('culo', 0), ('Њ', 0), ('isko', 0), ('ел', 0), ('isat', 0), ('�', 0), ('ḫ', 0)]","[('abor', 1), ('Jer', 1), ('博', 0), ('gon', 0), ('aram', 0), ('lio', 0), ('j', 0), ('Diplom', 0), ('animal', 0), ('Gü', 0)]"
layer11,"[('icate', 1), ('зя', 1), ('dod', 0), ('bras', 0), ('gemäß', 0), ('typen', 0), ('iante', 0), ('endo', 0), ('iate', 0), ('дав', 0)]","[('Jer', 1), ('leid', 0), ('lie', 0), ('stad', 0), ('burger', 0), ('layers', 0), ('typen', 0), ('bum', 0), ('abor', 0), ('ово', 0)]","[('enberg', 3), ('ти', 0), ('Toggle', 0), ('�', 0), ('hem', 0), ('Match', 0), ('ti', 0), ('гли', 0), ('Py', 0), ('Match', 0)]","[('burger', 1), ('stad', 1), ('stra', 0), ('Jer', 0), ('skog', 0), ('typen', 0), ('first', 0), ('bum', 0), ('layers', 0), ('berger', 0)]"
layer12,"[('pol', 1), (""'"", 1), ('MR', 0), ('asi', 0), ('ashi', 0), ('aws', 0), ('cies', 0), ('diag', 0), ('rules', 0), ('endo', 0)]","[('first', 3), ('burger', 3), ('layers', 0), ('layers', 0), ('stad', 0), ('cin', 0), ('First', 0), ('stell', 0), ('Jer', 0), ('Animal', 0)]","[('Robin', 1), ('flash', 1), ('ワ', 1), ('flash', 0), ('dorf', 0), ('normal', 0), ('yield', 0), ('Flash', 0), ('obey', 0), ('oll', 0)]","[('first', 3), ('burger', 1), ('stell', 1), ('stad', 0), ('bert', 0), ('手', 0), ('fred', 0), ('olia', 0), ('lio', 0), ('cies', 0)]"
layer13,"[('naio', 1), ('TypeError', 1), ('łą', 0), ('Kun', 0), ('uro', 0), ('icher', 0), ('́', 0), ('cum', 0), ('bei', 0), ('Howard', 0)]","[('burger', 3), ('first', 1), ('fred', 0), ('stad', 0), ('ulaire', 0), ('bert', 0), ('stell', 0), ('Energy', 0), ('+', 0), ('oro', 0)]","[('ấ', 2), ('iform', 1), ('anne', 1), ('ettings', 1), ('ROUP', 1), ('virti', 1), ('kbd', 1), ('gz', 0), ('lib', 0), ('lak', 0)]","[('burger', 3), ('stell', 1), ('first', 0), ('lio', 0), ('prem', 0), ('ulaire', 0), ('bert', 0), ('序', 0), ('Energy', 0), ('Gött', 0)]"
layer14,"[('ід', 2), ('DL', 1), ('asion', 1), ('hens', 0), ('Mel', 0), ('agini', 0), ('Diet', 0), ('pla', 0), ('equ', 0), ('Salvador', 0)]","[('burger', 1), ('stell', 0), ('first', 0), ('lio', 0), ('Hat', 0), ('ví', 0), ('Andreas', 0), ('Bedeut', 0), ('林', 0), ('stein', 0)]","[('�', 0), ('zeg', 0), ('rak', 0), ('zo', 0), ('сле', 0), ('rog', 0), ('iech', 0), ('визи', 0), ('anst', 0), ('porte', 0)]","[('burger', 3), ('stell', 1), ('Andreas', 0), ('olia', 0), ('Hermann', 0), ('lio', 0), ('Hat', 0), ('TS', 0), ('Jer', 0), ('bert', 0)]"
layer15,"[('asto', 1), ('ю', 1), ('vat', 1), ('landa', 0), ('DM', 0), ('ouvelles', 0), ('atura', 0), ('ode', 0), ('icina', 0), ('illaume', 0)]","[('burger', 5), ('Andreas', 1), ('stell', 0), ('olia', 0), ('stein', 0), ('already', 0), ('Jer', 0), ('cin', 0), ('TS', 0), ('first', 0)]","[('ША', 6), ('datab', 2), ('numer', 1), ('jas', 1), ('Sta', 1), ('occ', 0), ('strip', 0), ('alet', 0), ('ík', 0), ('tain', 0)]","[('burger', 1), ('lio', 0), ('olia', 0), ('Hem', 0), ('vens', 0), ('Glen', 0), ('景', 0), ('aga', 0), ('ство', 0), ('cente', 0)]"
layer16,"[('D', 26), ('Delete', 1), ('urity', 1), ('ด', 0), ('erta', 0), ('fa', 0), ('дав', 0), ('igua', 0), ('D', 0), ('Д', 0)]","[('burger', 1), ('olia', 0), ('Diet', 0), ('Glen', 0), ('vens', 0), ('borg', 0), ('Hem', 0), ('cente', 0), ('shed', 0), ('lio', 0)]","[('dens', 2), ('hens', 1), ('dens', 0), ('Meyer', 0), ('haupt', 0), ('CI', 0), ('eus', 0), ('uola', 0), ('aus', 0), ('Brasil', 0)]","[('burger', 1), ('vens', 1), ('Andreas', 0), ('Hem', 0), ('ство', 0), ('Glen', 0), ('stell', 0), ('lio', 0), ('fred', 0), ('olia', 0)]"
layer17,"[('D', 29), ('d', 1), ('e', 0), ('oles', 0), ('DE', 0), ('unde', 0), ('D', 0), ('De', 0), ('Д', 0), ('E', 0)]","[('D', 1), ('vens', 1), ('borg', 0), ('Glen', 0), ('burger', 0), ('ди', 0), ('undo', 0), ('Frederick', 0), ('соответ', 0), ('stell', 0)]","[('座', 1), ('Footnote', 0), ('Michel', 0), ('ety', 0), ('ability', 0), ('Veg', 0), ('RESS', 0), ('cpp', 0), ('ella', 0), ('wand', 0)]","[('vens', 0), ('undo', 0), ('D', 0), ('fred', 0), ('emark', 0), ('Frederick', 0), ('burger', 0), ('borg', 0), ('stone', 0), ('distributions', 0)]"
layer18,"[('#', 75), ('№', 3), ('№', 0), ('{#', 0), ('#(', 0), ('""#', 0), ('igin', 0), ('item', 0), ('mic', 0), ('lemagne', 0)]","[('vens', 1), ('#', 1), ('burger', 0), ('emark', 0), ('#', 0), ('step', 0), ('Frederick', 0), ('cit', 0), ('stell', 0), ('лей', 0)]","[('zan', 2), ('‹', 1), ('ur', 0), ('Bull', 0), ('laten', 0), ('mar', 0), ('Sau', 0), ('Ans', 0), ('Monde', 0), ('anel', 0)]","[('vens', 1), ('#', 0), ('+)', 0), ('cit', 0), ('Glen', 0), ('burger', 0), ('#', 0), ('stone', 0), ('emark', 0), ('Frederick', 0)]"
layer19,"[('Sk', 2), ('St', 1), ('St', 1), ('ST', 1), ('G', 1), ('Stuart', 1), ('invest', 0), ('Schw', 0), ('kw', 0), ('ahu', 0)]","[('#', 0), ('#', 0), ('vens', 0), ('cit', 0), ('D', 0), ('emark', 0), ('+)', 0), ('Glen', 0), ('step', 0), ('stone', 0)]","[('cir', 0), ('opport', 0), ('ív', 0), ('ỳ', 0), ('grav', 0), ('ikor', 0), ('ktet', 0), ('ighth', 0), ('живело', 0), ('�', 0)]","[('+)', 0), ('cit', 0), ('vens', 0), ('#', 0), ('D', 0), ('root', 0), ('step', 0), ('distributions', 0), ('already', 0), ('?)', 0)]"
layer20,"[('Storage', 74), ('storage', 23), ('Storage', 2), ('storage', 0), ('stored', 0), ('storing', 0), ('stor', 0), ('E', 0), ('stor', 0), ('ret', 0)]","[('storage', 5), ('Storage', 3), ('stor', 1), ('stored', 1), ('D', 0), ('+)', 0), ('cit', 0), ('vens', 0), ('stor', 0), ('step', 0)]","[('нва', 1), ('cho', 0), ('quelle', 0), ('zung', 0), ('Arn', 0), ('?}', 0), ('obe', 0), ('away', 0), ('agi', 0), ('}', 0)]","[('storage', 3), ('+)', 2), ('Storage', 2), ('D', 1), ('stor', 1), ('stored', 0), ('cit', 0), ('bert', 0), ('+', 0), ('distributions', 0)]"
layer21,"[('D', 99), ('D', 0), ('(', 0), ('Д', 0), ('{(', 0), ('(', 0), ('$(', 0), ('({', 0), ('DA', 0), ('nor', 0)]","[('D', 54), ('D', 5), ('storage', 1), ('Storage', 0), ('+)', 0), ('stored', 0), ('stor', 0), ('step', 0), ('лей', 0), ('ret', 0)]","[('aggio', 2), ('bero', 1), ('Ľ', 0), ('inher', 0), ('terra', 0), ('ila', 0), ('soap', 0), ('ļ', 0), ('�', 0), ('Bas', 0)]","[('D', 49), ('D', 10), ('storage', 1), ('Storage', 0), ('stored', 0), ('ret', 0), ('+)', 0), ('лей', 0), ('step', 0), ('Steph', 0)]"
layer22,"[('A', 2), ('D', 0), ('E', 0), ('VIII', 0), ('VII', 0), ('Ps', 0), ('fico', 0), ('rinn', 0), ('rg', 0), ('cules', 0)]","[('D', 60), ('D', 9), ('storage', 1), ('Storage', 0), ('stored', 0), ('+)', 0), ('лей', 0), ('ret', 0), ('E', 0), ('stor', 0)]","[('Censo', 4), ('cze', 3), ('elo', 1), ('margin', 1), ('ajes', 0), ('ССР', 0), ('串', 0), ('itas', 0), ('auc', 0), ('tests', 0)]","[('D', 41), ('D', 15), ('storage', 0), ('+)', 0), ('Storage', 0), ('stored', 0), ('ensk', 0), ('ret', 0), ('лей', 0), ('vens', 0)]"
layer23,"[('modules', 42), ('Module', 27), ('module', 27), ('Module', 1), ('module', 0), ('modules', 0), ('Mod', 0), ('mod', 0), ('Mod', 0), ('mod', 0)]","[('D', 34), ('D', 14), ('storage', 0), ('+)', 0), ('stored', 0), ('ensk', 0), ('Storage', 0), ('ret', 0), ('vens', 0), ('?)', 0)]","[('Резу', 1), ('iment', 0), ('lets', 0), ('ando', 0), ('feeling', 0), ('ipo', 0), ('march', 0), ('icture', 0), ('anna', 0), ('specific', 0)]","[('D', 40), ('D', 12), ('ensk', 0), ('ret', 0), ('+)', 0), ('storage', 0), ('stored', 0), ('start', 0), ('(', 0), ('pick', 0)]"
layer24,"[('retr', 29), ('Storage', 28), ('storage', 26), ('Retrie', 8), ('Ret', 2), ('Storage', 1), ('storage', 0), ('Ret', 0), ('retrieve', 0), ('retro', 0)]","[('D', 33), ('D', 14), ('storage', 9), ('Storage', 5), ('stored', 2), ('ret', 1), ('retr', 1), ('Ret', 0), ('stor', 0), ('Storage', 0)]","[('inkel', 2), ('zna', 1), ('press', 0), ('erte', 0), ('mig', 0), ('Login', 0), ('Laurent', 0), ('press', 0), ('migration', 0), ('ipage', 0)]","[('D', 27), ('D', 14), ('storage', 8), ('Storage', 5), ('stored', 2), ('retr', 1), ('ret', 0), ('stor', 0), ('ensk', 0), ('Storage', 0)]"
layer25,"[('–', 44), ('XIII', 5), ('1', 2), ('ǧ', 1), ('?}', 1), ('XI', 0), ('XVII', 0), ('oor', 0), ('ще', 0), ('Ten', 0)]","[('D', 16), ('D', 13), ('storage', 8), ('Storage', 6), ('stored', 2), ('retr', 1), ('stor', 0), ('ensk', 0), ('ret', 0), ('Storage', 0)]","[('B', 43), ('D', 29), ('C', 21), ('C', 1), ('A', 1), ('E', 0), ('D', 0), ('E', 0), ('d', 0), ('Б', 0)]","[('D', 64), ('D', 17), ('storage', 1), ('stored', 1), ('Storage', 1), ('retr', 0), ('ret', 0), ('stor', 0), ('Ret', 0), ('A', 0)]"
layer26,"[('E', 61), ('D', 20), ('A', 4), ('F', 1), (""'"", 1), ('""', 1), ('H', 1), ('G', 1), ('[', 1), ('E', 0)]","[('D', 88), ('D', 6), ('storage', 0), ('stored', 0), ('A', 0), ('E', 0), ('Storage', 0), ('retr', 0), ('A', 0), ('E', 0)]","[('invest', 0), ('pic', 0), ('pet', 0), ('CI', 0), ('okal', 0), ('pend', 0), ('urance', 0), ('))]', 0), ('Sor', 0), ('ren', 0)]","[('D', 83), ('D', 10), ('storage', 0), ('E', 0), ('A', 0), ('A', 0), ('stored', 0), ('Storage', 0), ('E', 0), ('retr', 0)]"
layer27,"[('""}', 31), ('()}', 4), ('}', 3), (""'}"", 3), ('}&', 2), ('!}', 1), ('go', 0), ('са', 0), ('click', 0), ('idi', 0)]","[('D', 84), ('D', 8), ('storage', 0), ('A', 0), ('E', 0), ('A', 0), ('stored', 0), ('Storage', 0), ('E', 0), ('retr', 0)]","[('i', 23), ('H', 2), ('G', 2), ('A', 1), ('C', 1), ('S', 0), ('lee', 0), ('essa', 0), ('P', 0), ('O', 0)]","[('D', 67), ('D', 22), ('A', 1), ('storage', 0), ('Storage', 0), ('E', 0), ('stored', 0), ('A', 0), ('E', 0), ('C', 0)]"
layer28,"[('D', 87), ('D', 0), ('E', 0), ('A', 0), (':)', 0), ('H', 0), ('Д', 0), ('E', 0), ('|', 0), ('A', 0)]","[('D', 82), ('D', 14), ('A', 0), ('E', 0), ('storage', 0), ('Storage', 0), ('A', 0), ('E', 0), ('stored', 0), ('C', 0)]","[('retro', 7), ('astern', 1), ('M', 1), ('I', 1), ('SK', 0), ('back', 0), ('ret', 0), ('Ret', 0), ('sk', 0), ('A', 0)]","[('D', 61), ('D', 22), ('A', 6), ('E', 1), ('A', 0), ('storage', 0), ('Storage', 0), ('E', 0), ('B', 0), ('C', 0)]"
layer29,"[('F', 12), ('FK', 0), ('Ф', 0), ('Brad', 0), ('FB', 0), ('Fichier', 0), ('кін', 0), ('mun', 0), ('кин', 0), ('...)', 0)]","[('D', 51), ('D', 29), ('A', 5), ('A', 1), ('E', 1), ('storage', 0), ('E', 0), ('Storage', 0), ('B', 0), ('C', 0)]","[('mod', 17), ('A', 10), ('D', 6), ('Mod', 2), ('E', 1), ('for', 1), ('C', 1), ('F', 1), ('moder', 1), ('1', 0)]","[('D', 73), ('D', 10), ('A', 9), ('E', 1), ('A', 0), ('C', 0), ('B', 0), ('F', 0), ('storage', 0), ('stored', 0)]"
layer30,"[('iwers', 0), ('ongodb', 0), ('❯', 0), ('totalité', 0), ('ynomial', 0), ('ану', 0), ('operator', 0), ('▸', 0), ('Bag', 0), ('iczn', 0)]","[('D', 71), ('A', 12), ('D', 5), ('E', 2), ('A', 0), ('C', 0), ('F', 0), ('B', 0), ('storage', 0), ('stored', 0)]","[('1', 42), ('D', 27), ('3', 5), ('B', 5), ('F', 4), ('G', 2), ('A', 1), ('H', 1), ('R', 1), ('S', 1)]","[('D', 88), ('A', 7), ('E', 1), ('D', 0), ('B', 0), ('F', 0), ('C', 0), ('G', 0), ('A', 0), ('1', 0)]"
layer31,"[('-', 1), ('\t', 0), ('GND', 0), ('序', 0), ('(', 0), ('..', 0), ('->', 0), ('crement', 0), ('', 0), ('decode', 0)]","[('D', 87), ('A', 6), ('E', 1), ('F', 0), ('B', 0), ('D', 0), ('C', 0), ('1', 0), ('G', 0), ('A', 0)]","[('entferne', 0), ('analy', 0), ('Begriffsklär', 0), ('Webachiv', 0), ('sklär', 0), ('Audiodateien', 0), ('virt', 0), ('Савезне', 0), ('relax', 0), ('länkar', 0)]","[('D', 92), ('A', 5), ('E', 1), ('F', 0), ('B', 0), ('C', 0), ('1', 0), ('G', 0), ('H', 0), ('I', 0)]"
