Layer,Attention mechanism,Intermediate residual stream,MLP output,Block output
layer10,"[('ace', 1), ('anth', 1), ('щение', 1), ('oil', 0), ('bro', 0), ('Û', 0), ('ighth', 0), ('lub', 0), ('ads', 0), ('ikan', 0)]","[('inta', 1), ('Heart', 1), ('ub', 0), ('enie', 0), ('lean', 0), ('void', 0), ('icon', 0), ('none', 0), ('apro', 0), ('deploy', 0)]","[('_', 7), ('dra', 2), ('GB', 1), ('III', 0), ('dus', 0), ('giv', 0), ('sem', 0), ('omi', 0), ('Gemeinsame', 0), ('none', 0)]","[('none', 3), ('ub', 1), ('explo', 1), ('ж', 1), ('none', 0), ('tro', 0), ('drawn', 0), ('inta', 0), ('atge', 0), ('number', 0)]"
layer11,"[('imo', 1), ('frame', 1), ('isie', 1), ('uti', 1), ('iddle', 0), ('ingen', 0), ('lingen', 0), ('Sus', 0), ('hed', 0), ('ledge', 0)]","[('ub', 2), ('none', 1), ('Heart', 0), ('deploy', 0), ('explo', 0), ('inta', 0), ('MC', 0), ('[', 0), ('ri', 0), ('number', 0)]","[('Begriffsklär', 4), ('ře', 1), ('fficiale', 1), ('rapper', 1), ('ấ', 1), ('zef', 0), ('Einzelnach', 0), ('üller', 0), ('printStackTrace', 0), ('kań', 0)]","[('none', 3), ('atge', 1), ('ж', 0), ('Champ', 0), ('zk', 0), ('composite', 0), ('deploy', 0), ('Aus', 0), ('duc', 0), ('none', 0)]"
layer12,"[('archar', 1), ('adt', 0), ('ALSE', 0), ('ud', 0), ('ują', 0), ('cente', 0), ('Gib', 0), ('Ț', 0), ('Rodríguez', 0), ('ürgen', 0)]","[('none', 3), ('atge', 1), ('composite', 0), ('sterd', 0), ('Leopold', 0), ('none', 0), ('zk', 0), ('Assert', 0), ('deploy', 0), ('answer', 0)]","[('reich', 2), ('Je', 0), ('spo', 0), ('emu', 0), ('нос', 0), ('์', 0), ('ós', 0), ('hr', 0), ('容', 0), ('hoz', 0)]","[('none', 21), ('none', 2), ('None', 0), ('Ø', 0), ('None', 0), ('atge', 0), ('bourg', 0), ('Assert', 0), ('sterd', 0), ('deploy', 0)]"
layer13,"[('enberg', 3), ('narrow', 1), ('що', 0), ('ços', 0), ('Answer', 0), ('elin', 0), ('ends', 0), ('rör', 0), ('revers', 0), ('Studio', 0)]","[('none', 15), ('none', 3), ('sterd', 1), ('None', 0), ('None', 0), ('Aus', 0), ('Aus', 0), ('bourg', 0), ('deploy', 0), ('schnitt', 0)]","[('Ort', 2), ('mét', 1), ('ort', 0), ('anst', 0), ('št', 0), ('conserv', 0), ('scriptstyle', 0), ('Vog', 0), ('met', 0), ('away', 0)]","[('none', 29), ('none', 3), ('None', 2), ('None', 1), ('zk', 0), ('A', 0), ('bourg', 0), ('Ø', 0), ('Answer', 0), ('�', 0)]"
layer14,"[('jest', 6), ('aret', 1), ('aland', 1), ('➖', 0), ('Costa', 0), ('Alfonso', 0), ('́', 0), ('gnu', 0), ('statunit', 0), ('isu', 0)]","[('none', 43), ('none', 6), ('None', 4), ('None', 2), ('answer', 0), ('Answer', 0), ('A', 0), ('answered', 0), ('zk', 0), ('sterd', 0)]","[('zin', 4), ('�', 2), ('sak', 1), ('麻', 0), ('nim', 0), ('inks', 0), ('ças', 0), ('jos', 0), ('aines', 0), ('bach', 0)]","[('none', 57), ('None', 4), ('none', 3), ('None', 1), ('zk', 0), ('Por', 0), ('Champ', 0), ('Answer', 0), ('answer', 0), ('nothing', 0)]"
layer15,"[('shal', 2), ('ista', 0), ('internal', 0), ('ID', 0), ('wagen', 0), ('ID', 0), ('Airl', 0), ('nos', 0), ('vil', 0), ('swer', 0)]","[('none', 28), ('none', 4), ('None', 3), ('answer', 1), ('Answer', 1), ('None', 0), ('Champ', 0), ('answered', 0), ('Assert', 0), ('Emer', 0)]","[('rès', 4), ('forte', 1), ('nat', 1), ('lig', 1), ('iek', 1), ('égl', 1), ('Хронологија', 1), ('illo', 0), ('ļ', 0), ('ansk', 0)]","[('none', 12), ('none', 3), ('Assert', 3), ('answer', 2), ('None', 2), ('Answer', 2), ('None', 0), ('thumb', 0), ('answered', 0), ('esterni', 0)]"
layer16,"[('answer', 35), ('answers', 17), ('Answer', 9), ('Answer', 6), ('answer', 3), ('correct', 3), ('swers', 1), ('incorrect', 1), ('correct', 1), ('answered', 0)]","[('none', 20), ('answer', 14), ('Answer', 9), ('none', 5), ('None', 3), ('answered', 2), ('answer', 1), ('Answer', 1), ('answers', 1), ('None', 1)]","[('quelle', 3), ('borg', 1), ('aux', 0), ('iera', 0), ('INCT', 0), ('Peters', 0), ('nou', 0), ('Campe', 0), ('zug', 0), ('ipage', 0)]","[('none', 33), ('answer', 5), ('Answer', 4), ('none', 4), ('None', 3), ('answered', 1), ('Answer', 1), ('None', 1), ('Assert', 0), ('answers', 0)]"
layer17,"[('ダ', 5), ('D', 3), ('deck', 1), ('ד', 1), ('da', 1), ('da', 0), ('dah', 0), ('DA', 0), ('OB', 0), ('yd', 0)]","[('none', 33), ('none', 6), ('None', 4), ('Answer', 3), ('answer', 3), ('Assert', 1), ('None', 1), ('Answer', 1), ('answered', 0), ('esterni', 0)]","[('Option', 5), ('Option', 3), ('vern', 3), ('option', 1), ('fourth', 1), ('iii', 0), ('fifth', 0), ('ii', 0), ('blank', 0), ('#', 0)]","[('none', 44), ('answer', 8), ('None', 6), ('none', 5), ('Answer', 4), ('None', 1), ('answered', 1), ('quelle', 1), ('option', 0), ('Answer', 0)]"
layer18,"[('alphabet', 17), ('letter', 6), ('option', 5), ('Option', 3), ('None', 2), ('none', 2), ('None', 1), ('none', 1), ('#(', 1), ('option', 1)]","[('none', 61), ('None', 11), ('none', 8), ('None', 2), ('option', 1), ('answer', 1), ('Option', 1), ('option', 1), ('Answer', 0), ('Option', 0)]","[('宿', 2), ('Alc', 1), ('�', 1), ('attro', 1), ('bury', 1), ('bis', 0), ('Multiple', 0), ('Line', 0), ('anz', 0), ('Riv', 0)]","[('none', 39), ('option', 11), ('Option', 6), ('None', 5), ('none', 5), ('answer', 3), ('Option', 2), ('option', 2), ('Answer', 1), ('None', 1)]"
layer19,"[('SD', 6), ('AC', 5), ('SD', 2), ('Unterscheidung', 1), ('WD', 0), ('DC', 0), ('DC', 0), ('GND', 0), ('ND', 0), ('estaven', 0)]","[('none', 30), ('option', 11), ('none', 6), ('answer', 6), ('Option', 6), ('None', 5), ('Option', 3), ('Answer', 2), ('option', 1), ('None', 1)]","[('answer', 8), ('Answer', 3), ('répond', 2), ('ieren', 2), ('option', 1), ('answered', 1), ('Response', 1), ('response', 0), ('reply', 0), ('answer', 0)]","[('option', 22), ('none', 20), ('answer', 19), ('Option', 7), ('Answer', 5), ('none', 3), ('Option', 3), ('None', 2), ('option', 2), ('answered', 1)]"
layer20,"[('United', 99), ('D', 0), ('D', 0), ('Д', 0), ('d', 0), ('Dy', 0), ('Un', 0), ('DM', 0), ('ダ', 0), ('द', 0)]","[('none', 27), ('answer', 20), ('option', 15), ('Answer', 4), ('none', 4), ('Option', 3), ('None', 2), ('D', 2), ('Option', 2), ('option', 2)]","[('annel', 2), ('FALSE', 1), ('no', 1), ('b', 0), ('too', 0), ('дар', 0), ('FALSE', 0), ('c', 0), ('`.`', 0), ('Ta', 0)]","[('none', 37), ('option', 21), ('answer', 8), ('none', 6), ('None', 4), ('Option', 3), ('option', 2), ('D', 2), ('Option', 1), ('None', 1)]"
layer21,"[('D', 50), ('itore', 0), ('fran', 0), ('Paris', 0), ('De', 0), ('esterni', 0), ('French', 0), ('De', 0), ('France', 0), ('D', 0)]","[('option', 30), ('none', 19), ('D', 14), ('answer', 7), ('Option', 5), ('none', 4), ('option', 3), ('None', 2), ('Option', 2), ('None', 1)]","[('A', 99), ('A', 0), ('А', 0), ('ABC', 0), ('ABC', 0), ('А', 0), ('Aires', 0), ('B', 0), ('AAAA', 0), ('AB', 0)]","[('A', 74), ('none', 7), ('D', 6), ('option', 2), ('none', 1), ('Option', 0), ('None', 0), ('option', 0), ('Option', 0), ('B', 0)]"
layer22,"[('fourth', 10), ('third', 1), ('letter', 1), ('letters', 1), ('fifth', 1), ('bs', 0), ('iv', 0), ('A', 0), ('根', 0), ('ii', 0)]","[('A', 81), ('none', 5), ('D', 2), ('none', 2), ('option', 1), ('None', 1), ('Option', 0), ('B', 0), ('Option', 0), ('None', 0)]","[('iből', 5), ('ʔ', 1), ('idense', 1), ('chter', 1), ('boldmath', 1), ('óp', 1), ('ɫ', 1), ('≃', 0), ('城', 0), ('cida', 0)]","[('none', 24), ('A', 19), ('none', 13), ('option', 9), ('D', 8), ('None', 3), ('Option', 2), ('option', 1), ('None', 1), ('Option', 0)]"
layer23,"[('United', 98), ('un', 0), ('Un', 0), ('LE', 0), ('unw', 0), ('LE', 0), ('Un', 0), ('Lé', 0), ('Leo', 0), ('Ле', 0)]","[('A', 40), ('none', 12), ('D', 8), ('none', 8), ('option', 6), ('None', 2), ('United', 1), ('option', 1), ('Option', 0), ('None', 0)]","[('ugust', 16), ('❯', 1), ('ера', 1), ('fik', 1), ('externes', 0), ('igkeiten', 0), ('rés', 0), ('rium', 0), ('estamp', 0), ('ἱ', 0)]","[('none', 26), ('none', 14), ('A', 10), ('D', 7), ('option', 6), ('None', 5), ('United', 3), ('None', 1), ('option', 0), ('Option', 0)]"
layer24,"[('Japan', 97), ('France', 1), ('France', 0), ('Japanese', 0), ('jap', 0), ('Tokyo', 0), ('日', 0), ('Japon', 0), ('French', 0), ('Frankreich', 0)]","[('United', 25), ('option', 25), ('Japan', 16), ('Option', 4), ('A', 3), ('France', 3), ('D', 2), ('option', 2), ('none', 2), ('Option', 2)]","[('ouvelles', 1), ('копи', 1), ('tables', 1), ('zar', 0), ('pont', 0), ('un', 0), ('cias', 0), ('babel', 0), ('dob', 0), ('iest', 0)]","[('United', 27), ('option', 23), ('Japan', 14), ('A', 5), ('D', 3), ('France', 3), ('Option', 3), ('option', 2), ('Option', 1), ('none', 1)]"
layer25,"[('<<', 9), ('.', 4), ('>>', 2), ('←', 0), ('https', 0), ('->', 0), ('Protocol', 0), ('[', 0), ('дель', 0), ('https', 0)]","[('option', 27), ('United', 17), ('Japan', 16), ('A', 5), ('Option', 4), ('France', 4), ('D', 3), ('option', 3), ('Option', 2), ('none', 1)]","[('C', 56), ('D', 27), ('B', 16), ('C', 0), ('D', 0), ('Б', 0), ('B', 0), ('A', 0), ('E', 0), ('Д', 0)]","[('D', 67), ('A', 11), ('C', 9), ('B', 3), ('option', 2), ('Japan', 2), ('United', 0), ('France', 0), ('Option', 0), ('option', 0)]"
layer26,"[('United', 96), ('LE', 0), ('Kingdom', 0), ('nation', 0), ('country', 0), ('country', 0), ('kingdom', 0), ('LE', 0), ('Nation', 0), ('U', 0)]","[('D', 55), ('A', 16), ('C', 9), ('B', 4), ('United', 4), ('Japan', 3), ('option', 1), ('France', 0), ('Option', 0), ('option', 0)]","[('a', 2), ('__(', 1), ('ouw', 1), ('Japanese', 1), ('jap', 0), ('condu', 0), ('(', 0), ('Tokyo', 0), ('ido', 0), ('d', 0)]","[('D', 73), ('A', 7), ('C', 5), ('Japan', 5), ('United', 2), ('option', 1), ('B', 1), ('France', 0), ('option', 0), ('Option', 0)]"
layer27,"[(""'));"", 5), ('()));', 4), ('None', 3), ('None', 3), ('none', 2), (')){', 1), ('}}%', 1), ('));', 1), ('cito', 1), ('""));', 1)]","[('D', 66), ('Japan', 9), ('A', 6), ('C', 4), ('United', 3), ('option', 2), ('B', 1), ('none', 0), ('France', 0), ('none', 0)]","[('(', 26), ('D', 4), ('c', 2), ('C', 1), ('bolds', 1), ('C', 0), ('Taiwan', 0), ('iclopedia', 0), ('Korean', 0), ('s', 0)]","[('D', 81), ('Japan', 6), ('C', 5), ('United', 1), ('A', 0), ('option', 0), ('B', 0), ('none', 0), ('none', 0), ('France', 0)]"
layer28,"[('D', 99), ('C', 0), ('Д', 0), ('B', 0), ('A', 0), ('Which', 0), ('D', 0), (':', 0), ('C', 0), ('Who', 0)]","[('D', 93), ('C', 3), ('Japan', 0), ('A', 0), ('B', 0), ('United', 0), ('option', 0), ('none', 0), ('France', 0), ('none', 0)]","[('Option', 29), ('option', 25), ('option', 17), ('Option', 8), ('options', 6), ('options', 3), ('OPT', 2), ('Options', 1), ('c', 0), ('–', 0)]","[('D', 43), ('C', 37), ('option', 5), ('A', 4), ('B', 2), ('Japan', 1), ('United', 1), ('option', 0), ('Option', 0), ('Option', 0)]"
layer29,"[('which', 97), ('Which', 1), ('which', 0), ('...', 0), ('....', 0), ('(...)', 0), ('.....', 0), ('lequel', 0), ('d', 0), ('...)', 0)]","[('C', 54), ('D', 28), ('option', 4), ('A', 3), ('B', 2), ('Japan', 1), ('United', 1), ('option', 0), ('Option', 0), ('Option', 0)]","[('l', 14), ('', 2), ('un', 1), ('^', 0), ('ped', 0), ('1', 0), ('ener', 0), ('d', 0), ('‘', 0), ('A', 0)]","[('D', 45), ('C', 27), ('option', 5), ('A', 5), ('B', 4), ('Japan', 4), ('United', 1), ('Option', 0), ('option', 0), ('Option', 0)]"
layer30,"[('_', 16), ('\\', 9), ('___', 7), ('________', 6), ('{\\', 2), ('________________', 2), ('____', 1), ('`', 1), ('__', 1), ('`', 1)]","[('D', 46), ('C', 19), ('A', 7), ('Japan', 6), ('B', 4), ('option', 4), ('United', 3), ('Option', 0), ('Option', 0), ('option', 0)]","[('\n', 58), ('', 29), ('a', 4), ('.', 2), ('(', 1), ('-', 1), (',', 0), ('L', 0), ('[', 0), ('</s>', 0)]","[('D', 66), ('C', 14), ('A', 11), ('B', 5), ('Japan', 0), ('\n', 0), ('d', 0), ('United', 0), ('option', 0), ('(', 0)]"
layer31,"[('...', 15), ('.....', 10), ('....', 9), ('........', 9), ('...', 8), ('…', 3), ('....', 2), ('...)', 2), ('...]', 1), ('................', 1)]","[('D', 59), ('C', 16), ('A', 11), ('B', 7), ('Japan', 1), ('\n', 0), ('United', 0), ('d', 0), ('option', 0), ('(', 0)]","[('Answer', 0), ('Cho', 0), ('.', 0), ('\n', 0), ('\u200b', 0), ('Read', 0), ('Â', 0), ('[...]', 0), ('(', 0), ('...', 0)]","[('D', 28), ('C', 17), ('A', 14), ('B', 11), ('Japan', 7), ('\n', 7), ('(', 2), ('United', 2), ('Option', 1), ('.', 0)]"
,,,,
